time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm),elevation,city,temperature_2m (°C)_max,relativehumidity_2m (%)_max,dewpoint_2m (°C)_max,apparent_temperature (°C)_max,pressure_msl (hPa)_max,surface_pressure (hPa)_max,snowfall (cm)_max,cloudcover (%)_max,cloudcover_low (%)_max,cloudcover_mid (%)_max,cloudcover_high (%)_max,shortwave_radiation (W/m²)_max,direct_radiation (W/m²)_max,diffuse_radiation (W/m²)_max,direct_normal_irradiance (W/m²)_max,windspeed_10m (km/h)_max,windspeed_100m (km/h)_max,winddirection_10m (°)_max,winddirection_100m (°)_max,windgusts_10m (km/h)_max,et0_fao_evapotranspiration (mm)_max,vapor_pressure_deficit (kPa)_max,soil_temperature_0_to_7cm (°C)_max,soil_temperature_7_to_28cm (°C)_max,soil_temperature_28_to_100cm (°C)_max,soil_temperature_100_to_255cm (°C)_max,soil_moisture_0_to_7cm (m³/m³)_max,soil_moisture_7_to_28cm (m³/m³)_max,soil_moisture_28_to_100cm (m³/m³)_max,soil_moisture_100_to_255cm (m³/m³)_max,city_max,temperature_2m (°C)_min,relativehumidity_2m (%)_min,dewpoint_2m (°C)_min,apparent_temperature (°C)_min,pressure_msl (hPa)_min,surface_pressure (hPa)_min,snowfall (cm)_min,cloudcover (%)_min,cloudcover_low (%)_min,cloudcover_mid (%)_min,cloudcover_high (%)_min,shortwave_radiation (W/m²)_min,direct_radiation (W/m²)_min,diffuse_radiation (W/m²)_min,direct_normal_irradiance (W/m²)_min,windspeed_10m (km/h)_min,windspeed_100m (km/h)_min,winddirection_10m (°)_min,winddirection_100m (°)_min,windgusts_10m (km/h)_min,et0_fao_evapotranspiration (mm)_min,vapor_pressure_deficit (kPa)_min,soil_temperature_0_to_7cm (°C)_min,soil_temperature_7_to_28cm (°C)_min,soil_temperature_28_to_100cm (°C)_min,soil_temperature_100_to_255cm (°C)_min,soil_moisture_0_to_7cm (m³/m³)_min,soil_moisture_7_to_28cm (m³/m³)_min,soil_moisture_28_to_100cm (m³/m³)_min,soil_moisture_100_to_255cm (m³/m³)_min,city_min,month,rainy,year
2018-01-01,28.2,23.7,33.3,28.5,2018-01-01T06:38,2018-01-01T18:30,10.37,9.2,0.0,11.5,23.8,2.22,5,lh,26.3,98.0,23.6,33.3,1011.0,1012.7,0.0,100.0,100.0,94.0,100.0,465.0,225.0,278.0,255.1,11.5,16.9,204.0,215.0,23.8,0.33,0.62,25.8,25.8,25.8,26.3,0.455,0.447,0.442,0.446,lh,23.0,82.0,22.2,28.5,1006.0,1007.7,0.0,55.0,14.0,19.0,85.0,0.0,0.0,0.0,0.0,2.9,2.2,86.0,84.0,12.2,0.0,0.06,24.1,25.2,25.8,26.3,0.442,0.438,0.442,0.446,lh,1,True,2018
2018-01-02,28.8,24.5,34.2,29.3,2018-01-02T06:39,2018-01-02T18:31,11.85,14.9,0.0,12.9,27.0,2.43,5,lh,27.5,98.0,24.9,34.2,1010.1,1011.8,0.0,100.0,99.0,81.0,100.0,657.0,416.0,241.0,458.6,12.9,15.8,156.0,155.0,27.0,0.45,0.52,27.7,25.6,25.8,26.3,0.46,0.458,0.45,0.446,lh,23.6,86.0,22.3,29.3,1006.2,1007.9,0.0,65.0,18.0,28.0,98.0,0.0,0.0,0.0,0.0,5.8,7.4,77.0,78.0,9.0,0.0,0.05,24.0,24.9,25.7,26.2,0.42,0.447,0.442,0.446,lh,1,True,2018
2018-01-03,28.5,23.8,34.9,28.0,2018-01-03T06:39,2018-01-03T18:31,7.17,66.2,0.0,9.7,17.3,1.56,5,lh,26.2,99.0,24.7,34.9,1010.7,1012.4,0.0,100.0,100.0,100.0,100.0,418.0,101.0,317.0,109.8,9.7,14.5,349.0,340.0,17.3,0.3,0.29,26.0,25.4,25.7,26.2,0.461,0.461,0.46,0.45,lh,23.2,91.0,22.8,28.0,1006.4,1008.1,0.0,100.0,34.0,83.0,94.0,0.0,0.0,0.0,0.0,0.5,1.8,69.0,76.0,5.8,0.0,0.03,24.1,24.9,25.7,26.2,0.437,0.441,0.451,0.446,lh,1,True,2018
2018-01-04,28.2,23.6,34.2,28.7,2018-01-04T06:40,2018-01-04T18:32,10.8,6.1,0.0,5.6,14.8,2.26,5,lh,27.0,98.0,23.9,34.2,1010.4,1012.1,0.0,100.0,52.0,100.0,100.0,554.0,329.0,324.0,320.7,5.6,6.8,333.0,326.0,14.8,0.4,0.71,27.2,25.5,25.7,26.2,0.461,0.461,0.46,0.455,lh,22.8,80.0,22.0,28.7,1006.2,1007.9,0.0,50.0,0.0,16.0,98.0,0.0,0.0,0.0,0.0,0.8,0.0,41.0,23.0,5.0,0.0,0.05,23.4,24.6,25.6,26.2,0.418,0.43,0.456,0.451,lh,1,True,2018
2018-01-05,29.6,24.7,35.7,30.1,2018-01-05T06:40,2018-01-05T18:32,14.62,0.7,0.0,12.1,25.6,3.06,5,lh,28.5,98.0,23.8,35.7,1010.5,1012.2,0.0,100.0,35.0,99.0,100.0,751.0,457.0,357.0,523.5,12.1,17.1,300.0,328.0,25.6,0.53,0.93,28.6,26.0,25.6,26.2,0.418,0.429,0.456,0.455,lh,22.9,76.0,22.6,30.1,1006.5,1008.2,0.0,38.0,3.0,2.0,95.0,0.0,0.0,0.0,0.0,1.6,1.4,107.0,108.0,6.1,0.0,0.05,23.4,24.8,25.6,26.2,0.414,0.421,0.449,0.455,lh,1,True,2018
2018-01-06,30.6,24.2,36.7,28.7,2018-01-06T06:41,2018-01-06T18:33,19.65,0.3,0.0,9.8,24.1,3.99,5,lh,28.6,96.0,24.2,36.7,1009.8,1011.5,0.0,70.0,22.0,42.0,100.0,799.0,540.0,263.0,618.8,9.8,15.9,236.0,198.0,24.1,0.59,1.01,29.0,26.5,25.7,26.2,0.415,0.421,0.449,0.455,lh,23.1,74.0,22.5,28.7,1006.1,1007.8,0.0,41.0,4.0,9.0,92.0,0.0,0.0,0.0,0.0,2.6,2.3,84.0,90.0,9.7,0.0,0.11,24.0,25.2,25.6,26.2,0.408,0.414,0.442,0.454,lh,1,True,2018
2018-01-07,30.4,24.5,37.6,30.0,2018-01-07T06:41,2018-01-07T18:33,19.29,4.6,0.0,6.5,19.8,3.89,5,lh,28.5,98.0,24.9,37.6,1011.1,1012.8,0.0,100.0,97.0,75.0,100.0,813.0,676.0,238.0,789.6,6.5,8.4,330.0,338.0,19.8,0.58,0.8,29.2,26.7,25.8,26.2,0.419,0.414,0.442,0.454,lh,23.0,79.0,22.6,30.0,1007.3,1009.0,0.0,20.0,4.0,2.0,15.0,0.0,0.0,0.0,0.0,0.8,0.8,36.0,29.0,5.4,0.0,0.05,24.0,25.4,25.7,26.2,0.409,0.411,0.436,0.454,lh,1,True,2018
2018-01-08,30.0,23.9,37.3,28.7,2018-01-08T06:41,2018-01-08T18:34,19.55,0.5,0.0,9.1,20.5,3.96,5,lh,28.5,96.0,23.9,37.3,1012.4,1014.1,0.0,93.0,17.0,93.0,97.0,825.0,675.0,235.0,771.2,9.1,11.5,358.0,358.0,20.5,0.6,0.97,29.0,26.5,25.8,26.2,0.421,0.412,0.435,0.454,lh,22.7,75.0,21.9,28.7,1008.1,1009.8,0.0,11.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.4,0.4,7.0,9.0,6.5,0.0,0.1,23.5,25.3,25.8,26.2,0.407,0.407,0.43,0.453,lh,1,True,2018
2018-01-09,28.7,23.8,35.2,28.5,2018-01-09T06:42,2018-01-09T18:34,13.94,1.0,0.0,8.6,22.7,2.83,5,lh,28.1,98.0,24.4,35.2,1014.0,1015.7,0.0,97.0,11.0,100.0,100.0,742.0,529.0,243.0,623.6,8.6,13.5,342.0,339.0,22.7,0.54,0.74,28.5,26.1,25.8,26.2,0.423,0.41,0.43,0.453,lh,22.7,81.0,22.3,28.5,1009.7,1011.4,0.0,35.0,0.0,15.0,46.0,0.0,0.0,0.0,0.0,1.6,1.0,115.0,115.0,4.0,0.0,0.06,23.8,25.3,25.8,26.2,0.415,0.408,0.425,0.453,lh,1,True,2018
2018-01-10,29.4,23.4,35.9,27.7,2018-01-10T06:42,2018-01-10T18:35,18.35,14.9,0.0,11.3,25.2,3.64,5,lh,28.4,98.0,24.4,35.9,1014.7,1016.4,0.0,98.0,54.0,46.0,100.0,684.0,479.0,301.0,607.3,11.3,15.0,353.0,354.0,25.2,0.49,0.92,28.6,26.3,25.8,26.2,0.461,0.446,0.425,0.453,lh,22.7,76.0,22.0,27.7,1009.5,1011.2,0.0,30.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,2.4,3.6,215.0,230.0,9.0,0.0,0.04,23.5,25.1,25.8,26.2,0.416,0.41,0.422,0.452,lh,1,True,2018
