time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm)_x,elevation,city_x,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),snowfall (cm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),et0_fao_evapotranspiration (mm)_y,vapor_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),city_y,month
2018-01-01,28.2,23.7,33.3,28.5,2018-01-01T06:38,2018-01-01T18:30,10.37,9.2,0.0,11.5,23.8,2.22,5,lh,24.0,95.0,23.1,30.5,1010.6,1012.3,0.0,100.0,100.0,38.0,100.0,0.0,0.0,0.0,0.0,6.3,9.3,167.0,167.0,16.2,0.0,0.16,24.8,25.8,25.8,26.3,0.442,0.438,0.442,0.446,lh,2018
2018-01-02,28.8,24.5,34.2,29.3,2018-01-02T06:39,2018-01-02T18:31,11.85,14.9,0.0,12.9,27.0,2.43,5,lh,24.3,93.0,23.2,30.2,1009.9,1011.6,0.0,100.0,77.0,50.0,98.0,0.0,0.0,0.0,0.0,8.9,13.4,148.0,144.0,18.0,0.0,0.2,24.6,25.3,25.8,26.3,0.45,0.447,0.442,0.446,lh,2018
2018-01-03,28.5,23.8,34.9,28.0,2018-01-03T06:39,2018-01-03T18:31,7.17,66.2,0.0,9.7,17.3,1.56,5,lh,23.6,98.0,23.3,28.8,1010.1,1011.8,0.0,100.0,37.0,95.0,100.0,0.0,0.0,0.0,0.0,8.4,12.5,137.0,141.0,16.6,0.0,0.05,24.5,25.4,25.7,26.2,0.439,0.448,0.451,0.446,lh,2018
2018-01-04,28.2,23.6,34.2,28.7,2018-01-04T06:40,2018-01-04T18:32,10.8,6.1,0.0,5.6,14.8,2.26,5,lh,23.7,98.0,23.4,30.0,1010.1,1011.8,0.0,100.0,44.0,97.0,99.0,0.0,0.0,0.0,0.0,1.3,1.5,214.0,225.0,7.2,0.0,0.05,24.3,24.9,25.7,26.2,0.455,0.452,0.459,0.451,lh,2018
2018-01-05,29.6,24.7,35.7,30.1,2018-01-05T06:40,2018-01-05T18:32,14.62,0.7,0.0,12.1,25.6,3.06,5,lh,24.1,95.0,23.3,31.8,1009.2,1010.9,0.0,98.0,11.0,97.0,100.0,0.0,0.0,0.0,0.0,1.8,1.4,217.0,270.0,7.2,0.0,0.14,24.3,25.3,25.6,26.2,0.418,0.429,0.456,0.455,lh,2018
2018-01-06,30.6,24.2,36.7,28.7,2018-01-06T06:41,2018-01-06T18:33,19.65,0.3,0.0,9.8,24.1,3.99,5,lh,24.2,94.0,23.2,29.9,1008.7,1010.4,0.0,44.0,7.0,14.0,98.0,0.0,0.0,0.0,0.0,9.2,15.4,154.0,147.0,19.8,0.01,0.18,24.8,25.7,25.6,26.2,0.415,0.421,0.449,0.455,lh,2018
2018-01-07,30.4,24.5,37.6,30.0,2018-01-07T06:41,2018-01-07T18:33,19.29,4.6,0.0,6.5,19.8,3.89,5,lh,25.3,91.0,23.8,31.5,1009.5,1011.2,0.0,36.0,4.0,9.0,91.0,0.0,0.0,0.0,0.0,3.3,3.6,257.0,270.0,8.6,0.0,0.29,24.8,26.2,25.7,26.2,0.411,0.414,0.442,0.454,lh,2018
2018-01-08,30.0,23.9,37.3,28.7,2018-01-08T06:41,2018-01-08T18:34,19.55,0.5,0.0,9.1,20.5,3.96,5,lh,23.4,96.0,22.8,30.7,1010.8,1012.5,0.0,30.0,10.0,11.0,49.0,0.0,0.0,0.0,0.0,4.7,6.2,212.0,216.0,11.2,0.0,0.1,24.5,26.2,25.8,26.2,0.416,0.411,0.435,0.454,lh,2018
2018-01-09,28.7,23.8,35.2,28.5,2018-01-09T06:42,2018-01-09T18:34,13.94,1.0,0.0,8.6,22.7,2.83,5,lh,24.4,91.0,22.9,29.9,1012.2,1013.9,0.0,43.0,3.0,26.0,83.0,0.0,0.0,0.0,0.0,4.7,7.9,270.0,294.0,4.3,0.0,0.27,24.5,26.1,25.8,26.2,0.418,0.409,0.43,0.453,lh,2018
2018-01-10,29.4,23.4,35.9,27.7,2018-01-10T06:42,2018-01-10T18:35,18.35,14.9,0.0,11.3,25.2,3.64,5,lh,24.3,94.0,23.3,29.2,1013.1,1014.8,0.0,42.0,0.0,20.0,99.0,0.0,0.0,0.0,0.0,6.5,10.2,273.0,288.0,10.1,0.0,0.19,24.6,25.8,25.8,26.2,0.42,0.41,0.425,0.453,lh,2018
