time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm),elevation,city,temperature_2m (°C)_max,relativehumidity_2m (%)_max,dewpoint_2m (°C)_max,apparent_temperature (°C)_max,pressure_msl (hPa)_max,surface_pressure (hPa)_max,snowfall (cm)_max,cloudcover (%)_max,cloudcover_low (%)_max,cloudcover_mid (%)_max,cloudcover_high (%)_max,shortwave_radiation (W/m²)_max,direct_radiation (W/m²)_max,diffuse_radiation (W/m²)_max,direct_normal_irradiance (W/m²)_max,windspeed_10m (km/h)_max,windspeed_100m (km/h)_max,winddirection_10m (°)_max,winddirection_100m (°)_max,windgusts_10m (km/h)_max,et0_fao_evapotranspiration (mm)_max,vapor_pressure_deficit (kPa)_max,soil_temperature_0_to_7cm (°C)_max,soil_temperature_7_to_28cm (°C)_max,soil_temperature_28_to_100cm (°C)_max,soil_temperature_100_to_255cm (°C)_max,soil_moisture_0_to_7cm (m³/m³)_max,soil_moisture_7_to_28cm (m³/m³)_max,soil_moisture_28_to_100cm (m³/m³)_max,soil_moisture_100_to_255cm (m³/m³)_max,city_max,temperature_2m (°C)_min,relativehumidity_2m (%)_min,dewpoint_2m (°C)_min,apparent_temperature (°C)_min,pressure_msl (hPa)_min,surface_pressure (hPa)_min,snowfall (cm)_min,cloudcover (%)_min,cloudcover_low (%)_min,cloudcover_mid (%)_min,cloudcover_high (%)_min,shortwave_radiation (W/m²)_min,direct_radiation (W/m²)_min,diffuse_radiation (W/m²)_min,direct_normal_irradiance (W/m²)_min,windspeed_10m (km/h)_min,windspeed_100m (km/h)_min,winddirection_10m (°)_min,winddirection_100m (°)_min,windgusts_10m (km/h)_min,et0_fao_evapotranspiration (mm)_min,vapor_pressure_deficit (kPa)_min,soil_temperature_0_to_7cm (°C)_min,soil_temperature_7_to_28cm (°C)_min,soil_temperature_28_to_100cm (°C)_min,soil_temperature_100_to_255cm (°C)_min,soil_moisture_0_to_7cm (m³/m³)_min,soil_moisture_7_to_28cm (m³/m³)_min,soil_moisture_28_to_100cm (m³/m³)_min,soil_moisture_100_to_255cm (m³/m³)_min,city_min,month,rainy,year
2018-01-01,29.9,24.7,36.2,29.5,2018-01-01T05:09,2018-01-01T17:23,14.99,14.2,0.0,8.4,21.2,3.13,58,p,29.9,92.0,25.4,36.2,1008.8,1008.3,0.0,100.0,58.0,91.0,100.0,638.0,347.0,361.0,375.0,8.4,12.9,360.0,356.0,21.2,0.47,1.13,29.1,27.6,27.3,27.1,0.405,0.408,0.399,0.391,p,24.7,73.0,23.0,29.5,1004.4,1003.9,0.0,38.0,0.0,11.0,56.0,0.0,0.0,0.0,0.0,1.6,1.8,10.0,2.0,9.4,0.0,0.23,26.4,26.9,27.3,27.1,0.392,0.395,0.381,0.39,p,1,True,2018
2018-01-02,30.4,24.2,36.7,29.2,2018-01-02T05:10,2018-01-02T17:23,17.88,7.5,0.0,9.8,23.0,3.77,58,p,30.4,95.0,25.7,36.7,1009.1,1008.6,0.0,89.0,36.0,96.0,100.0,731.0,446.0,313.0,537.1,9.8,13.1,335.0,336.0,23.0,0.53,1.3,29.4,27.7,27.3,27.1,0.412,0.404,0.392,0.391,p,24.2,70.0,22.9,29.2,1003.8,1003.3,0.0,51.0,0.0,27.0,64.0,0.0,0.0,0.0,0.0,2.9,4.3,189.0,191.0,10.8,0.0,0.15,26.0,26.6,27.2,27.1,0.387,0.387,0.386,0.391,p,1,True,2018
2018-01-03,29.3,25.4,36.0,31.2,2018-01-03T05:10,2018-01-03T17:24,12.16,16.9,0.0,9.5,24.1,2.6,58,p,29.3,94.0,25.1,36.0,1009.3,1008.8,0.0,86.0,37.0,64.0,100.0,544.0,251.0,395.0,286.5,9.5,15.3,353.0,306.0,24.1,0.4,0.98,29.1,27.3,27.3,27.1,0.405,0.404,0.398,0.391,p,25.4,75.0,24.1,31.2,1005.7,1005.2,0.0,41.0,0.0,2.0,95.0,0.0,0.0,0.0,0.0,0.5,0.4,8.0,18.0,5.4,0.0,0.21,26.3,26.8,27.2,27.1,0.385,0.39,0.391,0.391,p,1,True,2018
2018-01-04,30.1,24.4,35.9,30.0,2018-01-04T05:10,2018-01-04T17:24,12.2,29.7,0.0,8.3,20.2,2.63,58,p,30.1,95.0,25.6,35.9,1010.7,1010.2,0.0,100.0,100.0,94.0,100.0,599.0,293.0,351.0,401.9,8.3,11.9,360.0,360.0,20.2,0.45,1.2,28.6,27.1,27.2,27.2,0.412,0.422,0.413,0.393,p,24.4,72.0,23.6,30.0,1005.8,1005.3,0.0,38.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,2.3,1.3,2.0,2.0,6.1,0.0,0.15,26.0,26.5,27.2,27.1,0.372,0.387,0.398,0.391,p,1,True,2018
2018-01-05,30.4,25.7,37.4,31.5,2018-01-05T05:11,2018-01-05T17:25,15.53,16.9,0.0,7.0,21.2,3.23,58,p,30.4,97.0,25.5,37.4,1010.1,1009.6,0.0,89.0,30.0,94.0,100.0,673.0,426.0,383.0,458.5,7.0,9.7,360.0,345.0,21.2,0.51,1.21,29.3,27.6,27.2,27.2,0.404,0.403,0.4,0.394,p,25.7,72.0,23.8,31.5,1004.6,1004.1,0.0,30.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.4,1.1,34.0,14.0,7.9,0.0,0.12,26.4,26.5,27.1,27.1,0.377,0.383,0.396,0.393,p,1,True,2018
2018-01-06,28.4,24.4,34.7,29.9,2018-01-06T05:11,2018-01-06T17:25,12.34,28.8,0.0,5.4,16.2,2.56,58,p,28.4,95.0,24.4,34.7,1011.0,1010.5,0.0,100.0,100.0,98.0,100.0,730.0,526.0,315.0,407.9,5.4,8.0,346.0,342.0,16.2,0.51,1.01,29.3,27.4,27.1,27.1,0.408,0.406,0.408,0.396,p,24.4,74.0,23.2,29.9,1007.2,1006.7,0.0,58.0,10.0,17.0,92.0,0.0,0.0,0.0,0.0,0.8,0.8,8.0,4.0,7.2,0.0,0.15,26.2,26.8,27.1,27.1,0.399,0.401,0.398,0.394,p,1,True,2018
2018-01-07,30.1,24.9,35.4,30.2,2018-01-07T05:12,2018-01-07T17:25,10.88,8.3,0.0,8.9,24.5,2.42,58,p,30.1,93.0,25.2,35.4,1012.0,1011.5,0.0,100.0,21.0,99.0,100.0,516.0,176.0,426.0,169.8,8.9,14.7,331.0,360.0,24.5,0.4,1.33,27.9,26.9,27.1,27.1,0.407,0.405,0.407,0.399,p,24.9,69.0,23.4,30.2,1007.7,1007.2,0.0,42.0,0.0,3.0,94.0,0.0,0.0,0.0,0.0,1.8,2.0,7.0,25.0,9.7,0.0,0.25,25.8,26.4,27.0,27.1,0.388,0.393,0.4,0.397,p,1,True,2018
2018-01-08,29.5,25.1,37.0,30.2,2018-01-08T05:12,2018-01-08T17:26,17.75,7.1,0.0,7.7,20.9,3.57,58,p,29.5,94.0,25.3,37.0,1012.0,1011.5,0.0,72.0,31.0,41.0,100.0,698.0,376.0,367.0,436.1,7.7,13.0,351.0,349.0,20.9,0.52,1.13,29.3,27.2,27.0,27.1,0.404,0.399,0.401,0.399,p,25.1,73.0,23.3,30.2,1007.9,1007.4,0.0,34.0,0.0,4.0,91.0,0.0,0.0,0.0,0.0,1.5,2.6,6.0,4.0,7.6,0.0,0.19,25.2,26.1,27.0,27.1,0.381,0.388,0.399,0.399,p,1,True,2018
2018-01-09,28.8,24.5,34.2,29.5,2018-01-09T05:13,2018-01-09T17:26,14.31,3.6,0.0,7.9,21.6,2.97,58,p,28.8,95.0,25.0,34.2,1012.4,1011.9,0.0,68.0,34.0,38.0,100.0,592.0,262.0,399.0,319.6,7.9,12.5,93.0,98.0,21.6,0.42,0.91,28.4,27.1,27.0,27.1,0.401,0.396,0.399,0.399,p,24.5,77.0,23.5,29.5,1007.4,1006.9,0.0,32.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,4.0,5.3,20.0,27.0,10.8,0.0,0.16,25.9,26.3,26.9,27.1,0.382,0.386,0.395,0.399,p,1,True,2018
2018-01-10,30.3,24.8,37.8,29.9,2018-01-10T05:13,2018-01-10T17:27,17.69,10.0,0.0,7.6,18.0,3.68,58,p,30.3,92.0,24.9,37.8,1012.0,1011.5,0.0,83.0,27.0,75.0,100.0,799.0,583.0,262.0,581.9,7.6,12.5,347.0,360.0,18.0,0.58,1.31,29.9,27.6,27.0,27.1,0.405,0.404,0.395,0.399,p,24.8,69.0,23.4,29.9,1006.9,1006.4,0.0,21.0,1.0,6.0,54.0,0.0,0.0,0.0,0.0,2.3,2.6,4.0,5.0,6.5,0.0,0.24,25.7,26.4,26.9,27.1,0.374,0.383,0.392,0.399,p,1,True,2018
