time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm),elevation,city,temperature_2m (°C)_max,relativehumidity_2m (%)_max,dewpoint_2m (°C)_max,apparent_temperature (°C)_max,pressure_msl (hPa)_max,surface_pressure (hPa)_max,snowfall (cm)_max,cloudcover (%)_max,cloudcover_low (%)_max,cloudcover_mid (%)_max,cloudcover_high (%)_max,shortwave_radiation (W/m²)_max,direct_radiation (W/m²)_max,diffuse_radiation (W/m²)_max,direct_normal_irradiance (W/m²)_max,windspeed_10m (km/h)_max,windspeed_100m (km/h)_max,winddirection_10m (°)_max,winddirection_100m (°)_max,windgusts_10m (km/h)_max,et0_fao_evapotranspiration (mm)_max,vapor_pressure_deficit (kPa)_max,soil_temperature_0_to_7cm (°C)_max,soil_temperature_7_to_28cm (°C)_max,soil_temperature_28_to_100cm (°C)_max,soil_temperature_100_to_255cm (°C)_max,soil_moisture_0_to_7cm (m³/m³)_max,soil_moisture_7_to_28cm (m³/m³)_max,soil_moisture_28_to_100cm (m³/m³)_max,soil_moisture_100_to_255cm (m³/m³)_max,city_max,temperature_2m (°C)_max_min,relativehumidity_2m (%)_max_min,dewpoint_2m (°C)_max_min,apparent_temperature (°C)_max_min,pressure_msl (hPa)_max_min,surface_pressure (hPa)_max_min,snowfall (cm)_max_min,cloudcover (%)_max_min,cloudcover_low (%)_max_min,cloudcover_mid (%)_max_min,cloudcover_high (%)_max_min,shortwave_radiation (W/m²)_max_min,direct_radiation (W/m²)_max_min,diffuse_radiation (W/m²)_max_min,direct_normal_irradiance (W/m²)_max_min,windspeed_10m (km/h)_max_min,windspeed_100m (km/h)_max_min,winddirection_10m (°)_max_min,winddirection_100m (°)_max_min,windgusts_10m (km/h)_max_min,et0_fao_evapotranspiration (mm)_max_min,vapor_pressure_deficit (kPa)_max_min,soil_temperature_0_to_7cm (°C)_max_min,soil_temperature_7_to_28cm (°C)_max_min,soil_temperature_28_to_100cm (°C)_max_min,soil_temperature_100_to_255cm (°C)_max_min,soil_moisture_0_to_7cm (m³/m³)_max_min,soil_moisture_7_to_28cm (m³/m³)_max_min,soil_moisture_28_to_100cm (m³/m³)_max_min,soil_moisture_100_to_255cm (m³/m³)_max_min,city_max_min,month,rainy,year
2018-01-01,-15.9,-22.0,-20.2,-27.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.56,12.8,19.4,0.04,0,q,-17.6,72.0,-22.5,-20.2,1013.1,973.5,0.07,100.0,89.0,100.0,40.0,0.0,0.0,0.0,0.0,12.8,16.7,354.0,346.0,19.4,0.01,0.05,-13.0,-12.7,-11.4,-8.8,0.334,0.324,0.267,0.25,q,-25.5,59.0,-31.0,-27.9,1010.4,971.6,0.0,70.0,69.0,12.0,0.0,0.0,0.0,0.0,0.0,2.5,1.1,4.0,18.0,9.4,0.0,0.03,-13.1,-12.8,-11.5,-8.9,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-02,-22.0,-25.0,-27.5,-30.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.0,17.3,0.0,0,q,-24.3,64.0,-29.6,-27.5,1013.8,974.0,0.0,100.0,95.0,95.0,79.0,0.0,0.0,0.0,0.0,12.0,15.6,57.0,77.0,17.3,0.0,0.03,-13.0,-12.7,-11.5,-8.9,0.334,0.324,0.267,0.25,q,-28.0,59.0,-32.8,-30.4,1012.3,972.3,0.0,91.0,74.0,36.0,0.0,0.0,0.0,0.0,0.0,7.7,8.9,41.0,61.0,11.9,0.0,0.02,-13.1,-12.7,-11.6,-9.0,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-03,-22.5,-23.7,-27.5,-29.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,9.3,15.1,0.0,0,q,-23.9,67.0,-29.3,-27.5,1024.0,983.8,0.0,100.0,99.0,100.0,51.0,0.0,0.0,0.0,0.0,9.3,12.1,65.0,93.0,15.1,0.0,0.03,-13.1,-12.7,-11.6,-9.0,0.334,0.324,0.267,0.25,q,-26.7,58.0,-32.1,-29.0,1014.0,974.1,0.0,100.0,88.0,95.0,2.0,0.0,0.0,0.0,0.0,5.5,6.5,47.0,61.0,9.4,0.0,0.02,-13.1,-12.8,-11.6,-9.0,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-04,-23.6,-25.7,-28.7,-31.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.5,18.7,0.0,0,q,-26.7,66.0,-31.3,-28.7,1031.0,990.2,0.0,100.0,91.0,99.0,46.0,0.0,0.0,0.0,0.0,12.5,16.3,54.0,72.0,18.7,0.0,0.03,-13.1,-12.8,-11.7,-9.1,0.334,0.324,0.267,0.25,q,-29.5,60.0,-34.6,-31.5,1024.0,983.7,0.0,100.0,72.0,62.0,0.0,0.0,0.0,0.0,0.0,7.4,8.9,47.0,58.0,12.2,0.0,0.02,-13.2,-12.9,-11.7,-9.1,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-05,-22.8,-25.5,-28.1,-31.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.2,19.1,0.0,0,q,-26.2,61.0,-31.5,-28.1,1034.2,993.5,0.0,100.0,98.0,100.0,9.0,0.0,0.0,0.0,0.0,12.2,15.8,57.0,78.0,19.1,0.0,0.03,-13.2,-12.9,-11.7,-9.1,0.334,0.324,0.267,0.25,q,-29.7,57.0,-34.8,-31.2,1030.9,990.1,0.0,100.0,81.0,87.0,0.0,0.0,0.0,0.0,0.0,9.3,11.4,46.0,65.0,14.0,0.0,0.02,-13.4,-13.0,-11.8,-9.2,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-06,-20.0,-22.5,-26.3,-28.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.6,25.9,0.11,0,q,-25.1,63.0,-31.1,-26.3,1033.3,992.9,0.0,100.0,96.0,100.0,75.0,0.0,0.0,0.0,0.0,17.6,24.1,56.0,77.0,25.9,0.01,0.04,-13.4,-13.0,-11.8,-9.2,0.334,0.324,0.267,0.25,q,-27.1,56.0,-32.4,-28.4,1021.2,981.6,0.0,99.0,36.0,96.0,0.0,0.0,0.0,0.0,0.0,9.3,11.1,43.0,60.0,14.4,0.0,0.03,-13.4,-13.0,-11.9,-9.3,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-07,-17.2,-19.9,-23.2,-26.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,15.8,24.5,0.24,0,q,-21.2,62.0,-27.4,-23.2,1020.5,981.0,0.0,100.0,73.0,100.0,88.0,0.0,0.0,0.0,0.0,15.8,21.4,43.0,69.0,24.5,0.01,0.05,-13.3,-13.0,-11.9,-9.3,0.334,0.324,0.267,0.25,q,-24.8,54.0,-31.3,-26.2,1001.1,962.5,0.0,66.0,6.0,95.0,0.0,0.0,0.0,0.0,0.0,11.2,13.4,32.0,54.0,18.0,0.01,0.03,-13.4,-13.0,-11.9,-9.4,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-08,-17.7,-20.3,-23.7,-26.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,15.8,23.4,0.24,0,q,-23.7,66.0,-28.8,-23.7,1000.8,962.2,0.0,100.0,83.0,99.0,12.0,0.0,0.0,0.0,0.0,15.8,20.6,44.0,71.0,23.4,0.01,0.04,-13.3,-13.0,-11.9,-9.4,0.334,0.324,0.267,0.25,q,-25.3,60.0,-30.8,-26.1,995.8,957.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,14.5,34.0,58.0,19.4,0.01,0.03,-13.3,-13.0,-12.0,-9.5,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-09,-18.5,-21.1,-23.5,-26.7,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,11.6,19.1,0.09,0,q,-20.0,58.0,-27.5,-23.5,1004.0,965.2,0.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,14.1,40.0,66.0,19.1,0.01,0.06,-13.3,-13.0,-12.0,-9.5,0.334,0.324,0.267,0.25,q,-25.0,47.0,-30.9,-26.7,995.5,956.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.2,11.0,50.0,9.0,0.0,0.03,-13.6,-13.2,-12.0,-9.6,0.334,0.324,0.267,0.25,q,1,True,2018
2018-01-10,-19.4,-21.3,-24.3,-26.6,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,9.2,14.0,0.0,0,q,-21.1,58.0,-28.0,-24.3,1006.3,967.3,0.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,10.5,34.0,72.0,14.0,0.0,0.05,-13.6,-13.2,-12.1,-9.6,0.334,0.324,0.267,0.25,q,-23.0,53.0,-29.3,-26.6,1004.1,965.3,0.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,5.6,12.0,53.0,9.4,0.0,0.04,-13.9,-13.4,-12.1,-9.6,0.334,0.324,0.267,0.25,q,1,True,2018
