time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm)_x,elevation,city_x,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),snowfall (cm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),et0_fao_evapotranspiration (mm)_y,vapor_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),city_y,month,rainy,year
2018-01-01,27.5,25.6,33.1,30.2,2018-01-01T05:03,2018-01-01T17:41,18.15,7.5,0.0,17.6,32.0,3.46,0,u,25.7,85.0,23.0,30.5,1007.4,982.0,0.0,62.0,14.0,33.0,98.0,0.0,0.0,0.0,0.0,4.7,5.8,270.0,270.0,9.7,0.0,0.49,26.7,26.8,27.0,27.1,0.108,0.11,0.106,0.108,u,1,True,2018
2018-01-02,28.7,26.0,35.4,31.9,2018-01-02T05:03,2018-01-02T17:42,21.3,14.9,0.0,13.7,29.5,4.04,0,u,26.3,89.0,24.4,32.5,1007.7,982.3,0.0,49.0,19.0,7.0,91.0,0.0,0.0,0.0,0.0,0.5,0.8,45.0,333.0,7.2,0.0,0.36,26.8,26.9,27.0,27.0,0.105,0.108,0.107,0.108,u,1,True,2018
2018-01-03,28.3,26.2,35.5,32.0,2018-01-03T05:04,2018-01-03T17:42,22.62,12.1,0.0,17.2,32.8,4.11,0,u,26.4,91.0,24.8,32.7,1007.8,982.4,0.0,48.0,18.0,3.0,99.0,0.0,0.0,0.0,0.0,1.5,0.8,45.0,63.0,8.6,0.0,0.31,26.9,27.1,27.1,27.1,0.105,0.108,0.108,0.109,u,1,True,2018
2018-01-04,29.1,26.3,36.8,32.2,2018-01-04T05:04,2018-01-04T17:43,23.24,36.2,0.0,10.8,31.0,4.45,0,u,26.9,89.0,24.8,33.0,1008.8,983.5,0.0,45.0,15.0,4.0,97.0,0.0,0.0,0.0,0.0,3.3,3.8,131.0,131.0,7.6,0.0,0.4,27.4,27.5,27.4,27.5,0.105,0.107,0.109,0.109,u,1,True,2018
2018-01-05,28.2,25.8,35.1,31.8,2018-01-05T05:05,2018-01-05T17:43,20.95,36.8,0.0,16.1,26.6,3.94,0,u,26.4,91.0,24.8,32.8,1009.5,984.1,0.0,50.0,4.0,27.0,100.0,0.0,0.0,0.0,0.0,1.8,2.6,323.0,326.0,10.8,0.0,0.31,27.4,27.6,27.5,27.5,0.106,0.109,0.11,0.109,u,1,True,2018
2018-01-06,28.7,25.7,35.7,30.7,2018-01-06T05:05,2018-01-06T17:43,20.54,34.0,0.0,13.5,31.7,3.92,0,u,25.9,91.0,24.4,31.9,1009.2,983.8,0.0,65.0,15.0,36.0,100.0,0.0,0.0,0.0,0.0,1.6,1.8,243.0,259.0,9.7,0.0,0.28,27.3,27.4,27.4,27.4,0.108,0.108,0.109,0.109,u,1,True,2018
2018-01-07,28.7,25.5,35.7,30.7,2018-01-07T05:06,2018-01-07T17:44,16.04,23.3,0.0,11.9,24.8,3.19,0,u,26.0,88.0,23.9,30.9,1009.8,984.4,0.0,100.0,50.0,67.0,99.0,0.0,0.0,0.0,0.0,7.6,9.0,265.0,268.0,10.8,0.0,0.39,27.3,27.5,27.4,27.4,0.107,0.109,0.11,0.11,u,1,True,2018
2018-01-08,28.6,26.1,36.5,31.4,2018-01-08T05:06,2018-01-08T17:44,22.13,20.3,0.0,11.8,29.2,4.28,0,u,26.2,88.0,24.1,31.9,1010.7,985.3,0.0,82.0,36.0,33.0,99.0,0.0,0.0,0.0,0.0,2.9,3.3,120.0,103.0,9.7,0.0,0.41,26.9,27.3,27.3,27.3,0.107,0.109,0.11,0.11,u,1,True,2018
2018-01-09,29.2,26.6,37.7,32.3,2018-01-09T05:07,2018-01-09T17:44,21.93,4.1,0.0,12.3,23.4,4.34,0,u,26.9,85.0,24.3,32.6,1010.5,985.1,0.0,81.0,22.0,54.0,96.0,0.0,0.0,0.0,0.0,4.2,5.4,301.0,312.0,9.4,0.0,0.52,27.1,27.4,27.3,27.3,0.105,0.107,0.108,0.11,u,1,True,2018
2018-01-10,28.3,25.7,33.5,29.8,2018-01-10T05:07,2018-01-10T17:45,16.9,10.6,0.0,18.8,30.6,3.27,0,u,27.2,88.0,25.1,33.4,1010.2,984.8,0.0,62.0,27.0,14.0,98.0,0.0,0.0,0.0,0.0,4.5,6.5,256.0,251.0,10.1,0.0,0.42,27.5,27.6,27.5,27.5,0.106,0.107,0.106,0.11,u,1,True,2018
2018-01-11,27.2,25.3,30.6,28.2,2018-01-11T05:08,2018-01-11T17:45,5.75,53.7,0.0,27.2,45.7,1.45,0,u,25.6,95.0,24.7,29.9,1009.9,984.4,0.0,100.0,78.0,62.0,100.0,0.0,0.0,0.0,0.0,15.1,19.1,270.0,268.0,29.5,0.0,0.17,27.2,27.5,27.5,27.5,0.108,0.109,0.106,0.11,u,1,True,2018
2018-01-12,28.2,25.4,31.6,28.3,2018-01-12T05:08,2018-01-12T17:45,11.6,7.7,0.0,23.3,40.7,3.04,0,u,25.4,94.0,24.4,28.3,1009.5,984.0,0.0,83.0,19.0,60.0,100.0,0.0,0.0,0.0,0.0,23.3,29.7,287.0,284.0,40.7,0.01,0.2,26.8,27.1,27.3,27.3,0.111,0.111,0.111,0.11,u,1,True,2018
2018-01-13,29.0,26.6,35.3,31.5,2018-01-13T05:09,2018-01-13T17:45,17.67,2.9,0.0,11.0,23.4,3.65,0,u,26.9,84.0,24.0,31.7,1008.7,983.4,0.0,65.0,0.0,59.0,100.0,0.0,0.0,0.0,0.0,8.3,11.5,358.0,346.0,19.4,0.01,0.56,26.6,26.8,27.0,27.1,0.103,0.104,0.11,0.11,u,1,True,2018
2018-01-14,28.1,26.5,33.5,30.7,2018-01-14T05:09,2018-01-14T17:46,15.46,2.8,0.0,13.1,25.9,3.29,0,u,26.6,90.0,24.9,32.9,1009.7,984.3,0.0,100.0,32.0,100.0,100.0,0.0,0.0,0.0,0.0,2.9,4.1,300.0,285.0,5.8,0.0,0.33,26.7,26.9,27.0,27.0,0.104,0.105,0.107,0.11,u,1,True,2018
2018-01-15,27.7,26.2,33.5,30.4,2018-01-15T05:10,2018-01-15T17:46,16.8,4.3,0.0,11.7,25.2,3.45,0,u,26.9,72.0,21.3,30.4,1008.7,983.4,0.0,81.0,18.0,59.0,98.0,0.0,0.0,0.0,0.0,6.8,9.3,342.0,332.0,24.1,0.02,1.0,26.4,26.5,26.5,26.6,0.102,0.104,0.106,0.11,u,1,True,2018
2018-01-16,27.9,26.5,33.4,31.1,2018-01-16T05:10,2018-01-16T17:46,8.97,7.4,0.0,11.7,28.1,2.09,0,u,26.6,87.0,24.2,31.5,1007.6,982.3,0.0,83.0,4.0,83.0,97.0,0.0,0.0,0.0,0.0,8.5,10.3,298.0,295.0,16.2,0.01,0.45,26.6,26.8,26.8,26.8,0.106,0.103,0.104,0.11,u,1,True,2018
2018-01-17,28.4,26.7,33.9,32.0,2018-01-17T05:11,2018-01-17T17:46,13.0,1.2,0.0,10.1,18.7,2.75,0,u,26.9,87.0,24.6,32.1,1008.6,983.3,0.0,100.0,19.0,93.0,94.0,0.0,0.0,0.0,0.0,9.0,11.0,331.0,337.0,7.6,0.01,0.45,26.7,26.8,26.9,26.9,0.105,0.108,0.104,0.11,u,1,True,2018
2018-01-18,28.7,26.2,34.8,31.6,2018-01-18T05:11,2018-01-18T17:46,22.7,2.3,0.0,16.6,29.9,4.34,0,u,27.1,79.0,23.2,32.2,1008.3,983.0,0.0,49.0,5.0,24.0,100.0,0.0,0.0,0.0,0.0,3.1,4.1,339.0,322.0,12.2,0.0,0.74,26.6,26.7,26.8,26.8,0.106,0.105,0.102,0.11,u,1,True,2018
2018-01-19,28.2,25.7,33.4,29.9,2018-01-19T05:12,2018-01-19T17:47,17.38,6.5,0.0,17.3,31.3,3.26,0,u,25.9,92.0,24.5,31.6,1008.7,983.3,0.0,55.0,18.0,15.0,100.0,0.0,0.0,0.0,0.0,4.7,6.1,266.0,267.0,8.3,0.0,0.28,26.8,27.1,27.0,27.1,0.102,0.104,0.101,0.109,u,1,True,2018
2018-01-20,26.5,25.5,31.1,29.3,2018-01-20T05:12,2018-01-20T17:47,9.75,13.6,0.0,16.6,31.0,2.02,0,u,26.0,91.0,24.5,30.0,1007.6,982.2,0.0,100.0,58.0,60.0,89.0,0.0,0.0,0.0,0.0,16.6,20.5,274.0,272.0,25.9,0.01,0.3,26.7,26.8,26.8,26.9,0.106,0.105,0.1,0.109,u,1,True,2018
2018-01-21,26.8,25.7,31.7,29.6,2018-01-21T05:13,2018-01-21T17:47,10.38,38.2,0.0,19.7,36.4,2.16,0,u,26.2,89.0,24.2,31.0,1006.3,981.0,0.0,89.0,7.0,88.0,98.0,0.0,0.0,0.0,0.0,9.8,12.2,287.0,284.0,20.9,0.01,0.38,26.5,26.6,26.7,26.8,0.107,0.108,0.102,0.109,u,1,True,2018
2018-01-22,29.2,26.0,35.7,30.7,2018-01-22T05:13,2018-01-22T17:47,21.19,16.0,0.0,15.2,27.7,4.14,0,u,26.2,89.0,24.2,30.8,1006.5,981.2,0.0,100.0,29.0,98.0,100.0,0.0,0.0,0.0,0.0,10.8,14.0,272.0,270.0,27.7,0.01,0.38,26.5,26.7,26.8,26.9,0.11,0.11,0.105,0.109,u,1,True,2018
2018-01-23,28.2,25.6,35.1,31.5,2018-01-23T05:13,2018-01-23T17:47,16.19,11.9,0.0,9.3,21.6,3.23,0,u,25.9,90.0,24.1,31.7,1006.4,981.0,0.0,100.0,76.0,29.0,91.0,0.0,0.0,0.0,0.0,2.4,3.4,243.0,252.0,15.1,0.0,0.33,26.7,26.8,26.8,26.9,0.106,0.108,0.107,0.109,u,1,True,2018
2018-01-24,28.0,26.2,33.5,31.3,2018-01-24T05:14,2018-01-24T17:47,15.8,6.8,0.0,11.0,31.0,3.09,0,u,26.4,91.0,24.8,32.2,1006.9,981.6,0.0,51.0,15.0,12.0,100.0,0.0,0.0,0.0,0.0,5.0,5.8,270.0,274.0,8.6,0.0,0.31,26.6,26.8,26.8,26.9,0.106,0.108,0.107,0.109,u,1,True,2018
2018-01-25,28.3,26.0,33.1,29.4,2018-01-25T05:14,2018-01-25T17:47,13.92,14.9,0.0,22.7,46.4,2.92,0,u,26.8,87.0,24.4,31.6,1005.6,980.3,0.0,57.0,15.0,23.0,99.0,0.0,0.0,0.0,0.0,10.0,12.6,291.0,290.0,19.4,0.01,0.47,26.8,26.9,26.9,26.9,0.105,0.108,0.108,0.109,u,1,True,2018
2018-01-26,28.8,26.2,34.0,29.5,2018-01-26T05:15,2018-01-26T17:47,17.54,6.3,0.0,21.3,38.9,3.7,0,u,26.2,90.0,24.5,29.5,1005.7,980.4,0.0,98.0,17.0,88.0,100.0,0.0,0.0,0.0,0.0,21.1,27.9,279.0,277.0,34.6,0.02,0.34,26.5,26.7,26.7,26.8,0.107,0.108,0.107,0.109,u,1,True,2018
2018-01-27,29.5,26.4,36.2,31.7,2018-01-27T05:15,2018-01-27T17:47,21.76,6.7,0.0,13.7,30.2,4.29,0,u,26.9,87.0,24.6,32.0,1006.1,980.8,0.0,83.0,14.0,68.0,100.0,0.0,0.0,0.0,0.0,9.5,11.8,295.0,293.0,11.2,0.01,0.45,26.5,26.6,26.6,26.7,0.108,0.109,0.106,0.109,u,1,True,2018
2018-01-28,29.0,26.9,36.4,32.0,2018-01-28T05:15,2018-01-28T17:47,17.55,5.6,0.0,12.1,23.4,3.76,0,u,27.3,87.0,24.9,32.2,1006.1,980.9,0.0,52.0,13.0,17.0,100.0,0.0,0.0,0.0,0.0,12.1,15.3,293.0,294.0,17.6,0.02,0.48,26.8,26.9,26.8,26.8,0.105,0.107,0.107,0.109,u,1,True,2018
2018-01-29,29.0,27.2,35.3,30.4,2018-01-29T05:16,2018-01-29T17:47,18.58,10.0,0.0,24.4,36.4,4.0,0,u,27.7,85.0,25.0,33.4,1006.1,980.9,0.0,46.0,11.0,10.0,100.0,0.0,0.0,0.0,0.0,6.5,9.6,341.0,340.0,21.2,0.01,0.55,27.0,26.9,26.8,26.8,0.105,0.106,0.107,0.11,u,1,True,2018
