time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,21.1,16.5,24.5,18.3,2018-01-01T06:30,2018-01-01T18:28,5.15,22.0,0.0,3.6,15.1,25.0,1.12,1391,b
2018-01-02,22.2,16.1,25.0,17.7,2018-01-02T06:30,2018-01-02T18:29,11.23,15.7,0.0,3.1,19.8,166.0,2.14,1391,b
2018-01-03,22.0,16.0,25.2,17.7,2018-01-03T06:31,2018-01-03T18:29,5.14,21.2,0.0,4.3,30.6,203.0,1.1,1391,b
2018-01-04,21.8,15.6,25.2,17.0,2018-01-04T06:31,2018-01-04T18:30,6.8,9.1,0.0,4.4,24.1,331.0,1.38,1391,b
2018-01-05,23.3,16.4,25.7,17.9,2018-01-05T06:31,2018-01-05T18:30,18.5,0.7,0.0,6.0,29.2,232.0,3.46,1391,b
2018-01-06,24.7,16.4,27.9,17.8,2018-01-06T06:32,2018-01-06T18:31,19.57,1.4,0.0,5.6,27.7,,3.71,1391,b
2018-01-07,25.3,15.4,27.7,16.7,2018-01-07T06:32,2018-01-07T18:31,17.78,0.3,0.0,4.8,23.4,246.0,3.44,1391,b
2018-01-08,24.5,15.6,28.3,16.9,2018-01-08T06:33,2018-01-08T18:32,18.1,2.1,0.0,4.9,21.6,243.0,3.46,1391,b
2018-01-09,21.0,16.4,22.6,17.4,2018-01-09T06:33,2018-01-09T18:32,11.73,5.7,0.0,4.9,20.5,249.0,2.2,1391,b
2018-01-10,22.8,14.4,25.9,14.7,2018-01-10T06:33,2018-01-10T18:33,19.42,13.3,0.0,5.4,24.1,283.0,3.55,1391,b
2018-01-11,20.7,14.2,23.2,14.5,2018-01-11T06:34,2018-01-11T18:33,6.85,17.8,0.0,5.1,21.2,232.0,1.42,1391,b
2018-01-12,20.9,14.7,22.8,14.9,2018-01-12T06:34,2018-01-12T18:33,6.61,2.8,0.0,4.6,19.4,138.0,1.35,1391,b
2018-01-13,22.4,14.8,25.1,16.1,2018-01-13T06:34,2018-01-13T18:34,14.58,9.8,0.0,5.2,21.2,23.0,2.7,1391,b
2018-01-14,23.1,15.6,25.5,16.9,2018-01-14T06:35,2018-01-14T18:34,13.17,2.9,0.0,5.7,25.9,47.0,2.56,1391,b
2018-01-15,23.4,14.8,26.1,15.8,2018-01-15T06:35,2018-01-15T18:35,15.38,4.2,0.0,3.8,19.8,356.0,2.9,1391,b
2018-01-16,23.9,14.6,27.2,15.7,2018-01-16T06:35,2018-01-16T18:35,17.96,2.8,0.0,5.4,22.7,243.0,3.39,1391,b
2018-01-17,24.2,15.0,27.4,16.2,2018-01-17T06:36,2018-01-17T18:35,17.78,1.5,0.0,4.2,19.8,297.0,3.38,1391,b
2018-01-18,22.9,16.2,25.3,17.7,2018-01-18T06:36,2018-01-18T18:36,15.47,12.2,0.0,5.4,21.2,22.0,2.91,1391,b
2018-01-19,24.2,16.3,26.9,17.6,2018-01-19T06:36,2018-01-19T18:36,15.07,8.1,0.0,5.6,24.5,345.0,2.81,1391,b
2018-01-20,23.2,15.5,26.1,17.0,2018-01-20T06:36,2018-01-20T18:36,13.78,10.8,0.0,4.9,21.6,279.0,2.63,1391,b
2018-01-21,22.6,15.4,24.5,16.7,2018-01-21T06:37,2018-01-21T18:37,14.85,10.3,0.0,5.0,30.2,228.0,2.77,1391,b
2018-01-22,24.0,15.5,26.8,16.6,2018-01-22T06:37,2018-01-22T18:37,15.83,5.2,0.0,5.6,32.4,241.0,3.01,1391,b
2018-01-23,24.3,14.8,27.1,15.4,2018-01-23T06:37,2018-01-23T18:37,17.17,3.0,0.0,6.6,27.7,244.0,3.28,1391,b
2018-01-24,24.4,15.0,25.7,15.4,2018-01-24T06:37,2018-01-24T18:38,19.44,1.1,0.0,7.6,29.9,242.0,3.71,1391,b
2018-01-25,25.6,15.5,29.6,17.0,2018-01-25T06:38,2018-01-25T18:38,18.44,1.8,0.0,3.4,17.3,355.0,3.57,1391,b
2018-01-26,22.7,15.9,25.3,17.2,2018-01-26T06:38,2018-01-26T18:38,13.03,7.3,0.0,5.0,21.6,241.0,2.47,1391,b
2018-01-27,25.3,15.7,29.5,16.9,2018-01-27T06:38,2018-01-27T18:39,16.31,5.3,0.0,5.1,24.1,238.0,3.18,1391,b
2018-01-28,23.1,16.5,26.7,18.0,2018-01-28T06:38,2018-01-28T18:39,13.68,12.1,0.0,5.4,28.8,238.0,2.59,1391,b
2018-01-29,24.6,15.7,27.7,16.9,2018-01-29T06:38,2018-01-29T18:39,19.61,0.5,0.0,6.6,28.4,238.0,3.74,1391,b
2018-01-30,25.3,16.8,29.0,18.4,2018-01-30T06:38,2018-01-30T18:39,23.08,0.3,0.0,4.9,25.2,243.0,4.37,1391,b
2018-01-31,25.6,15.2,29.2,16.2,2018-01-31T06:38,2018-01-31T18:40,21.81,1.5,0.0,4.1,20.5,263.0,4.19,1391,b
2018-02-01,25.2,16.1,28.9,17.2,2018-02-01T06:38,2018-02-01T18:40,17.84,11.4,0.0,6.3,24.1,29.0,3.38,1391,b
2018-02-02,25.3,15.6,28.6,16.8,2018-02-02T06:38,2018-02-02T18:40,16.74,5.7,0.0,5.7,23.8,79.0,3.2,1391,b
2018-02-03,24.4,15.6,27.1,16.5,2018-02-03T06:38,2018-02-03T18:40,18.46,5.7,0.0,9.1,32.4,68.0,3.48,1391,b
2018-02-04,24.4,15.3,26.5,15.9,2018-02-04T06:39,2018-02-04T18:40,19.59,2.6,0.0,10.2,35.6,76.0,3.66,1391,b
2018-02-05,24.6,15.8,27.0,16.9,2018-02-05T06:39,2018-02-05T18:40,19.79,0.7,0.0,8.9,28.1,50.0,3.77,1391,b
2018-02-06,23.5,15.4,25.4,16.6,2018-02-06T06:39,2018-02-06T18:41,18.4,1.1,0.0,6.1,22.3,2.0,3.44,1391,b
2018-02-07,22.0,16.1,24.4,17.7,2018-02-07T06:38,2018-02-07T18:41,17.39,2.9,0.0,5.9,27.0,328.0,3.24,1391,b
2018-02-08,23.9,16.0,26.3,17.5,2018-02-08T06:38,2018-02-08T18:41,18.41,1.3,0.0,5.9,20.2,40.0,3.46,1391,b
2018-02-09,24.7,15.9,27.1,17.4,2018-02-09T06:38,2018-02-09T18:41,19.55,0.0,0.0,4.2,19.8,10.0,3.73,1391,b
2018-02-10,24.1,15.8,27.6,17.1,2018-02-10T06:38,2018-02-10T18:41,16.33,2.8,0.0,6.3,19.8,12.0,3.1,1391,b
2018-02-11,24.3,16.0,27.4,17.3,2018-02-11T06:38,2018-02-11T18:41,21.19,0.4,0.0,6.2,27.0,29.0,3.97,1391,b
2018-02-12,24.4,14.4,26.2,15.0,2018-02-12T06:38,2018-02-12T18:41,25.57,0.0,0.0,11.0,39.2,46.0,4.76,1391,b
2018-02-13,25.8,14.4,28.6,15.0,2018-02-13T06:38,2018-02-13T18:41,23.37,0.1,0.0,6.6,26.3,71.0,4.43,1391,b
2018-02-14,24.0,16.0,26.6,17.4,2018-02-14T06:38,2018-02-14T18:41,17.32,5.6,0.0,3.7,18.0,55.0,3.32,1391,b
2018-02-15,24.5,15.7,28.9,17.4,2018-02-15T06:38,2018-02-15T18:41,20.08,2.1,0.0,5.7,23.8,,3.8,1391,b
2018-02-16,24.0,16.6,26.6,18.3,2018-02-16T06:38,2018-02-16T18:41,16.64,3.1,0.0,4.0,20.5,262.0,3.2,1391,b
2018-02-17,24.7,16.7,28.1,18.8,2018-02-17T06:38,2018-02-17T18:41,16.68,3.8,0.0,4.4,19.4,298.0,3.19,1391,b
2018-02-18,25.6,15.5,29.4,17.0,2018-02-18T06:38,2018-02-18T18:41,21.79,2.1,0.0,7.7,25.2,40.0,4.16,1391,b
2018-02-19,25.5,16.2,28.6,18.1,2018-02-19T06:37,2018-02-19T18:41,21.59,1.4,0.0,4.9,20.2,11.0,4.15,1391,b
2018-02-20,25.0,15.6,27.8,16.8,2018-02-20T06:37,2018-02-20T18:41,15.47,0.0,0.0,5.4,18.7,,3.03,1391,b
2018-02-21,22.9,16.8,26.6,19.0,2018-02-21T06:37,2018-02-21T18:41,13.58,11.4,0.0,3.2,17.3,,2.6,1391,b
2018-02-22,23.2,16.9,26.4,19.0,2018-02-22T06:37,2018-02-22T18:41,9.5,17.8,0.0,5.4,18.4,,1.98,1391,b
2018-02-23,21.3,15.9,24.6,17.5,2018-02-23T06:37,2018-02-23T18:41,15.74,17.8,0.0,4.4,22.7,71.0,2.88,1391,b
2018-02-24,24.3,16.0,26.5,17.5,2018-02-24T06:36,2018-02-24T18:41,16.3,3.1,0.0,10.3,32.8,62.0,3.1,1391,b
2018-02-25,22.7,16.4,25.6,18.4,2018-02-25T06:36,2018-02-25T18:41,15.08,5.6,0.0,6.4,30.2,62.0,2.82,1391,b
2018-02-26,24.8,15.6,27.3,17.0,2018-02-26T06:36,2018-02-26T18:41,20.03,1.2,0.0,8.9,32.0,74.0,3.79,1391,b
2018-02-27,25.6,16.3,28.7,18.2,2018-02-27T06:36,2018-02-27T18:41,21.95,0.3,0.0,5.2,23.4,72.0,4.2,1391,b
2018-02-28,24.8,16.8,28.6,18.5,2018-02-28T06:35,2018-02-28T18:41,19.12,8.2,0.0,4.3,19.4,64.0,3.67,1391,b
2018-03-01,24.9,16.5,29.5,17.9,2018-03-01T06:35,2018-03-01T18:41,15.42,6.5,0.0,4.0,19.4,343.0,2.99,1391,b
2018-03-02,25.2,16.0,28.9,17.3,2018-03-02T06:35,2018-03-02T18:40,18.87,3.3,0.0,4.3,18.0,44.0,3.68,1391,b
2018-03-03,23.2,17.0,26.3,19.2,2018-03-03T06:35,2018-03-03T18:40,15.48,4.0,0.0,6.4,24.8,293.0,2.89,1391,b
2018-03-04,25.4,15.5,28.7,16.5,2018-03-04T06:34,2018-03-04T18:40,19.87,1.1,0.0,5.8,21.6,8.0,3.82,1391,b
2018-03-05,24.5,16.1,28.2,17.7,2018-03-05T06:34,2018-03-05T18:40,16.24,4.0,0.0,5.6,24.5,355.0,3.05,1391,b
2018-03-06,24.1,15.6,27.9,17.3,2018-03-06T06:34,2018-03-06T18:40,19.02,8.6,0.0,4.2,21.2,247.0,3.67,1391,b
2018-03-07,24.3,15.9,27.7,17.6,2018-03-07T06:33,2018-03-07T18:40,15.76,4.4,0.0,4.9,21.2,31.0,2.98,1391,b
2018-03-08,25.7,16.2,28.9,17.3,2018-03-08T06:33,2018-03-08T18:40,17.76,1.0,0.0,7.4,29.2,49.0,3.49,1391,b
2018-03-09,24.7,16.5,26.6,17.8,2018-03-09T06:33,2018-03-09T18:39,19.07,1.7,0.0,9.3,34.9,63.0,3.65,1391,b
2018-03-10,24.1,14.6,26.9,15.4,2018-03-10T06:32,2018-03-10T18:39,16.89,6.2,0.0,6.6,38.5,73.0,3.25,1391,b
2018-03-11,24.3,15.8,26.3,16.7,2018-03-11T06:32,2018-03-11T18:39,17.07,0.0,0.0,8.2,29.5,70.0,3.35,1391,b
2018-03-12,24.2,14.8,25.8,15.6,2018-03-12T06:32,2018-03-12T18:39,19.78,2.0,0.0,8.9,33.1,55.0,3.77,1391,b
2018-03-13,24.2,15.4,26.9,16.7,2018-03-13T06:31,2018-03-13T18:39,23.07,0.6,0.0,9.7,32.4,41.0,4.31,1391,b
2018-03-14,27.3,15.0,31.9,16.5,2018-03-14T06:31,2018-03-14T18:39,26.24,0.0,0.0,5.5,22.0,47.0,5.1,1391,b
2018-03-15,25.6,17.2,29.3,19.1,2018-03-15T06:31,2018-03-15T18:38,17.22,13.7,0.0,3.9,22.3,246.0,3.38,1391,b
2018-03-16,24.7,16.2,27.9,17.8,2018-03-16T06:30,2018-03-16T18:38,16.25,1.6,0.0,3.7,22.7,30.0,3.15,1391,b
2018-03-17,26.4,14.4,30.0,15.4,2018-03-17T06:30,2018-03-17T18:38,20.32,3.6,0.0,4.7,19.1,63.0,3.95,1391,b
2018-03-18,26.3,16.5,29.8,18.8,2018-03-18T06:29,2018-03-18T18:38,18.46,1.7,0.0,6.1,23.4,,3.6,1391,b
2018-03-19,26.8,15.7,30.7,17.1,2018-03-19T06:29,2018-03-19T18:38,22.04,5.9,0.0,4.8,23.4,29.0,4.26,1391,b
2018-03-20,24.9,16.8,29.3,18.8,2018-03-20T06:29,2018-03-20T18:37,17.01,40.9,0.0,6.0,27.0,267.0,3.19,1391,b
2018-03-21,24.9,15.8,28.3,16.6,2018-03-21T06:28,2018-03-21T18:37,16.07,12.8,0.0,5.9,22.7,273.0,3.14,1391,b
2018-03-22,25.1,15.4,27.3,16.7,2018-03-22T06:28,2018-03-22T18:37,18.82,1.7,0.0,6.5,26.3,37.0,3.64,1391,b
2018-03-23,24.4,15.6,27.9,17.0,2018-03-23T06:28,2018-03-23T18:37,17.17,0.9,0.0,4.0,24.5,56.0,3.33,1391,b
