time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,33.3,25.0,40.9,30.7,2018-01-01T05:36,2018-01-01T18:09,23.24,4.9,0.0,6.9,22.3,252.0,4.93,0,le
2018-01-02,33.4,25.4,40.9,30.4,2018-01-02T05:37,2018-01-02T18:09,21.89,1.1,0.0,7.1,20.2,,4.68,0,le
2018-01-03,31.8,25.5,39.2,31.3,2018-01-03T05:37,2018-01-03T18:10,21.52,14.4,0.0,9.1,26.6,357.0,4.5,0,le
2018-01-04,32.0,26.4,39.6,32.9,2018-01-04T05:38,2018-01-04T18:10,16.75,12.0,0.0,5.9,31.7,216.0,3.56,0,le
2018-01-05,30.7,26.4,37.0,32.4,2018-01-05T05:38,2018-01-05T18:11,11.91,21.4,0.0,9.0,32.0,257.0,2.67,0,le
2018-01-06,31.9,25.3,36.6,30.6,2018-01-06T05:39,2018-01-06T18:11,12.67,2.1,0.0,10.6,32.8,242.0,2.91,0,le
2018-01-07,30.0,25.4,35.7,31.1,2018-01-07T05:39,2018-01-07T18:11,16.43,2.5,0.0,9.2,34.2,271.0,3.52,0,le
2018-01-08,33.0,25.8,39.5,31.9,2018-01-08T05:40,2018-01-08T18:12,19.67,11.7,0.0,12.5,31.3,300.0,4.18,0,le
2018-01-09,31.5,25.4,37.9,31.4,2018-01-09T05:40,2018-01-09T18:12,16.66,12.1,0.0,13.8,29.9,282.0,3.52,0,le
2018-01-10,33.0,25.1,40.0,30.2,2018-01-10T05:41,2018-01-10T18:12,22.54,3.8,0.0,13.5,35.6,280.0,4.74,0,le
2018-01-11,32.0,25.1,36.7,30.0,2018-01-11T05:41,2018-01-11T18:13,17.18,2.5,0.0,12.2,33.8,275.0,3.96,0,le
2018-01-12,31.4,25.0,35.9,29.9,2018-01-12T05:42,2018-01-12T18:13,18.55,1.5,0.0,14.7,43.9,289.0,4.16,0,le
2018-01-13,31.3,25.8,37.9,31.0,2018-01-13T05:42,2018-01-13T18:13,21.94,1.6,0.0,17.5,52.9,280.0,4.63,0,le
2018-01-14,30.1,24.2,33.9,29.1,2018-01-14T05:43,2018-01-14T18:13,16.13,10.7,0.0,16.9,43.9,277.0,3.44,0,le
2018-01-15,29.9,23.8,34.4,28.2,2018-01-15T05:43,2018-01-15T18:14,16.29,7.7,0.0,15.5,43.2,279.0,3.5,0,le
2018-01-16,29.0,24.1,33.1,28.7,2018-01-16T05:44,2018-01-16T18:14,12.22,6.2,0.0,15.5,46.1,278.0,2.93,0,le
2018-01-17,29.9,24.4,33.6,29.4,2018-01-17T05:44,2018-01-17T18:14,14.31,7.4,0.0,15.4,40.0,271.0,3.19,0,le
2018-01-18,28.6,24.6,34.2,30.3,2018-01-18T05:44,2018-01-18T18:14,13.23,5.1,0.0,14.7,41.0,279.0,2.66,0,le
2018-01-19,30.9,24.3,36.0,29.1,2018-01-19T05:45,2018-01-19T18:15,12.77,5.3,0.0,11.2,40.0,260.0,2.9,0,le
2018-01-20,31.2,24.2,35.3,28.6,2018-01-20T05:45,2018-01-20T18:15,14.52,8.0,0.0,15.6,49.3,255.0,3.2,0,le
2018-01-21,31.6,24.4,36.1,29.2,2018-01-21T05:46,2018-01-21T18:15,15.33,4.8,0.0,14.6,50.4,265.0,3.47,0,le
2018-01-22,29.4,24.9,33.6,29.3,2018-01-22T05:46,2018-01-22T18:15,11.61,4.4,0.0,14.0,51.1,267.0,2.6,0,le
2018-01-23,31.4,24.6,37.7,29.3,2018-01-23T05:46,2018-01-23T18:15,19.47,5.5,0.0,17.1,46.8,284.0,4.05,0,le
2018-01-24,32.0,24.8,38.5,30.3,2018-01-24T05:47,2018-01-24T18:15,19.2,2.5,0.0,13.9,43.6,279.0,4.07,0,le
2018-01-25,31.4,24.4,35.3,28.6,2018-01-25T05:47,2018-01-25T18:15,15.71,1.0,0.0,13.8,55.4,260.0,3.61,0,le
2018-01-26,31.5,24.2,35.7,28.6,2018-01-26T05:48,2018-01-26T18:16,16.91,8.0,0.0,18.4,55.1,268.0,3.66,0,le
2018-01-27,31.0,24.9,36.3,29.5,2018-01-27T05:48,2018-01-27T18:16,19.49,1.5,0.0,18.3,51.5,284.0,4.12,0,le
2018-01-28,29.8,24.7,34.7,28.9,2018-01-28T05:48,2018-01-28T18:16,16.31,3.1,0.0,18.9,61.6,277.0,3.5,0,le
2018-01-29,30.4,24.1,34.9,28.1,2018-01-29T05:49,2018-01-29T18:16,12.14,16.9,0.0,15.2,38.5,271.0,2.75,0,le
2018-01-30,31.5,24.3,36.8,28.7,2018-01-30T05:49,2018-01-30T18:16,17.83,5.3,0.0,18.0,49.7,272.0,3.8,0,le
2018-01-31,31.4,24.3,36.9,29.4,2018-01-31T05:49,2018-01-31T18:16,17.82,5.1,0.0,15.6,45.7,282.0,3.88,0,le
2018-02-01,32.0,25.1,38.2,30.7,2018-02-01T05:50,2018-02-01T18:16,16.83,6.7,0.0,14.6,41.4,287.0,3.56,0,le
2018-02-02,32.2,25.0,38.0,30.2,2018-02-02T05:50,2018-02-02T18:16,21.54,7.3,0.0,16.8,42.1,293.0,4.51,0,le
2018-02-03,29.6,24.8,36.1,30.0,2018-02-03T05:50,2018-02-03T18:16,14.43,6.2,0.0,11.4,40.7,276.0,2.93,0,le
2018-02-04,29.6,24.8,34.6,30.1,2018-02-04T05:50,2018-02-04T18:16,16.81,3.5,0.0,14.0,35.3,293.0,3.42,0,le
2018-02-05,28.8,24.2,34.2,28.5,2018-02-05T05:51,2018-02-05T18:15,14.73,1.6,0.0,15.6,36.0,279.0,2.9,0,le
2018-02-06,29.1,23.8,34.3,28.8,2018-02-06T05:51,2018-02-06T18:15,15.97,15.2,0.0,17.9,37.1,294.0,3.19,0,le
2018-02-07,29.4,23.8,35.4,28.7,2018-02-07T05:51,2018-02-07T18:15,15.27,2.6,0.0,16.1,35.6,302.0,3.06,0,le
2018-02-08,28.6,24.9,34.2,30.2,2018-02-08T05:51,2018-02-08T18:15,13.65,12.1,0.0,14.8,33.5,299.0,2.71,0,le
2018-02-09,30.9,24.4,37.4,29.9,2018-02-09T05:51,2018-02-09T18:15,19.04,5.4,0.0,14.5,37.1,295.0,3.86,0,le
2018-02-10,31.4,24.7,37.8,30.1,2018-02-10T05:52,2018-02-10T18:15,21.05,3.9,0.0,15.9,35.6,292.0,4.32,0,le
2018-02-11,30.4,24.8,35.8,30.3,2018-02-11T05:52,2018-02-11T18:15,18.06,1.8,0.0,15.3,33.8,306.0,3.7,0,le
2018-02-12,29.3,24.2,34.5,29.2,2018-02-12T05:52,2018-02-12T18:14,12.46,8.7,0.0,12.9,31.7,300.0,2.64,0,le
2018-02-13,30.2,25.5,35.1,30.9,2018-02-13T05:52,2018-02-13T18:14,13.5,3.2,0.0,17.1,38.2,298.0,2.94,0,le
2018-02-14,29.2,25.2,34.4,30.8,2018-02-14T05:52,2018-02-14T18:14,13.58,7.1,0.0,13.8,34.2,289.0,2.81,0,le
2018-02-15,28.5,24.5,33.7,29.8,2018-02-15T05:52,2018-02-15T18:14,11.76,19.6,0.0,16.9,40.3,283.0,2.36,0,le
2018-02-16,32.3,23.8,39.2,28.7,2018-02-16T05:53,2018-02-16T18:14,19.08,5.5,0.0,15.5,42.1,290.0,4.1,0,le
2018-02-17,32.2,24.2,38.3,28.8,2018-02-17T05:53,2018-02-17T18:13,23.24,1.0,0.0,14.4,32.8,286.0,4.77,0,le
2018-02-18,31.7,24.4,38.7,30.1,2018-02-18T05:53,2018-02-18T18:13,19.27,5.0,0.0,11.1,35.6,294.0,4.03,0,le
2018-02-19,30.6,25.1,36.9,31.2,2018-02-19T05:53,2018-02-19T18:13,16.88,14.7,0.0,12.7,32.4,300.0,3.5,0,le
2018-02-20,31.7,25.2,37.4,31.2,2018-02-20T05:53,2018-02-20T18:13,14.11,13.6,0.0,14.7,32.8,295.0,3.1,0,le
2018-02-21,32.2,25.0,39.4,30.8,2018-02-21T05:53,2018-02-21T18:12,21.88,9.5,0.0,11.1,28.4,320.0,4.48,0,le
2018-02-22,30.4,25.1,37.4,31.0,2018-02-22T05:53,2018-02-22T18:12,14.84,6.0,0.0,7.9,23.8,317.0,3.14,0,le
2018-02-23,31.8,24.8,37.6,30.4,2018-02-23T05:53,2018-02-23T18:12,12.84,14.6,0.0,8.7,21.2,317.0,2.88,0,le
2018-02-24,31.8,24.9,39.2,30.4,2018-02-24T05:53,2018-02-24T18:11,18.6,16.8,0.0,11.9,29.5,282.0,3.86,0,le
2018-02-25,31.5,24.6,38.8,30.2,2018-02-25T05:53,2018-02-25T18:11,20.06,5.6,0.0,9.3,25.9,280.0,4.21,0,le
2018-02-26,30.5,24.4,37.3,29.8,2018-02-26T05:53,2018-02-26T18:11,14.21,6.8,0.0,8.0,21.6,318.0,2.95,0,le
2018-02-27,30.8,24.7,37.6,30.4,2018-02-27T05:53,2018-02-27T18:10,16.47,2.6,0.0,11.3,30.6,287.0,3.44,0,le
2018-02-28,31.1,25.6,37.1,31.8,2018-02-28T05:53,2018-02-28T18:10,16.32,12.5,0.0,8.6,22.7,313.0,3.42,0,le
2018-03-01,32.1,25.1,40.8,30.9,2018-03-01T05:53,2018-03-01T18:10,19.76,14.1,0.0,11.3,27.0,358.0,4.08,0,le
2018-03-02,33.1,24.9,41.8,30.6,2018-03-02T05:53,2018-03-02T18:09,22.71,6.2,0.0,9.7,24.1,277.0,4.76,0,le
2018-03-03,31.2,25.8,39.0,32.3,2018-03-03T05:53,2018-03-03T18:09,16.59,6.6,0.0,9.7,27.4,347.0,3.46,0,le
