time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,28.2,23.7,33.3,28.5,2018-01-01T06:38,2018-01-01T18:30,10.37,9.2,0.0,11.5,23.8,115.0,2.22,5,lh
2018-01-02,28.8,24.5,34.2,29.3,2018-01-02T06:39,2018-01-02T18:31,11.85,14.9,0.0,12.9,27.0,123.0,2.43,5,lh
2018-01-03,28.5,23.8,34.9,28.0,2018-01-03T06:39,2018-01-03T18:31,7.17,66.2,0.0,9.7,17.3,123.0,1.56,5,lh
2018-01-04,28.2,23.6,34.2,28.7,2018-01-04T06:40,2018-01-04T18:32,10.8,6.1,0.0,5.6,14.8,106.0,2.26,5,lh
2018-01-05,29.6,24.7,35.7,30.1,2018-01-05T06:40,2018-01-05T18:32,14.62,0.7,0.0,12.1,25.6,144.0,3.06,5,lh
2018-01-06,30.6,24.2,36.7,28.7,2018-01-06T06:41,2018-01-06T18:33,19.65,0.3,0.0,9.8,24.1,148.0,3.99,5,lh
2018-01-07,30.4,24.5,37.6,30.0,2018-01-07T06:41,2018-01-07T18:33,19.29,4.6,0.0,6.5,19.8,294.0,3.89,5,lh
2018-01-08,30.0,23.9,37.3,28.7,2018-01-08T06:41,2018-01-08T18:34,19.55,0.5,0.0,9.1,20.5,275.0,3.96,5,lh
2018-01-09,28.7,23.8,35.2,28.5,2018-01-09T06:42,2018-01-09T18:34,13.94,1.0,0.0,8.6,22.7,260.0,2.83,5,lh
2018-01-10,29.4,23.4,35.9,27.7,2018-01-10T06:42,2018-01-10T18:35,18.35,14.9,0.0,11.3,25.2,310.0,3.64,5,lh
2018-01-11,29.4,22.6,35.9,26.2,2018-01-11T06:42,2018-01-11T18:35,18.48,2.9,0.0,8.7,19.4,161.0,3.74,5,lh
2018-01-12,28.6,23.4,32.8,26.7,2018-01-12T06:43,2018-01-12T18:36,9.5,1.7,0.0,12.2,20.2,126.0,2.18,5,lh
2018-01-13,28.1,23.7,33.8,27.9,2018-01-13T06:43,2018-01-13T18:36,14.8,9.5,0.0,13.4,27.7,116.0,2.95,5,lh
2018-01-14,28.2,23.4,32.8,26.9,2018-01-14T06:43,2018-01-14T18:37,12.24,0.8,0.0,10.6,23.8,134.0,2.52,5,lh
2018-01-15,29.2,23.7,34.4,26.6,2018-01-15T06:44,2018-01-15T18:37,19.43,0.1,0.0,12.7,25.2,123.0,4.03,5,lh
2018-01-16,28.2,22.9,32.9,27.2,2018-01-16T06:44,2018-01-16T18:37,12.92,10.3,0.0,8.9,22.7,244.0,2.67,5,lh
2018-01-17,29.7,24.0,35.7,28.3,2018-01-17T06:44,2018-01-17T18:38,19.77,1.1,0.0,7.7,20.9,191.0,3.98,5,lh
2018-01-18,29.4,24.3,36.0,29.1,2018-01-18T06:44,2018-01-18T18:38,18.85,5.9,0.0,8.7,24.8,231.0,3.78,5,lh
2018-01-19,29.4,23.7,35.6,28.4,2018-01-19T06:45,2018-01-19T18:39,18.48,0.7,0.0,7.6,20.5,,3.65,5,lh
2018-01-20,29.4,23.5,35.5,27.9,2018-01-20T06:45,2018-01-20T18:39,18.99,5.9,0.0,11.7,25.6,4.0,3.78,5,lh
2018-01-21,29.4,23.7,36.8,28.4,2018-01-21T06:45,2018-01-21T18:39,16.42,7.4,0.0,9.8,22.0,306.0,3.33,5,lh
2018-01-22,28.4,23.6,33.3,27.9,2018-01-22T06:45,2018-01-22T18:40,11.77,7.2,0.0,8.4,19.1,308.0,2.45,5,lh
2018-01-23,30.3,23.7,36.7,27.9,2018-01-23T06:45,2018-01-23T18:40,16.92,4.5,0.0,10.7,25.9,294.0,3.49,5,lh
2018-01-24,29.9,23.8,36.2,28.5,2018-01-24T06:46,2018-01-24T18:40,17.47,1.3,0.0,10.7,22.3,314.0,3.58,5,lh
2018-01-25,30.2,23.9,36.3,28.4,2018-01-25T06:46,2018-01-25T18:41,18.9,2.4,0.0,8.2,20.2,128.0,3.84,5,lh
2018-01-26,29.0,24.5,35.2,29.8,2018-01-26T06:46,2018-01-26T18:41,13.64,4.0,0.0,10.3,23.4,139.0,2.79,5,lh
2018-01-27,30.5,24.3,37.8,29.2,2018-01-27T06:46,2018-01-27T18:41,16.54,4.2,0.0,5.6,15.5,282.0,3.44,5,lh
2018-01-28,29.2,23.7,35.1,28.3,2018-01-28T06:46,2018-01-28T18:42,14.59,9.0,0.0,9.8,18.0,304.0,2.98,5,lh
2018-01-29,29.2,23.8,36.5,28.6,2018-01-29T06:46,2018-01-29T18:42,15.54,0.7,0.0,9.4,19.1,304.0,3.2,5,lh
2018-01-30,30.1,23.9,37.0,28.9,2018-01-30T06:46,2018-01-30T18:42,19.81,0.5,0.0,9.1,20.9,252.0,4.03,5,lh
2018-01-31,30.2,24.7,36.6,29.2,2018-01-31T06:46,2018-01-31T18:42,18.81,3.3,0.0,9.7,23.8,298.0,3.85,5,lh
2018-02-01,29.7,23.8,36.9,28.0,2018-02-01T06:46,2018-02-01T18:43,19.11,0.6,0.0,9.8,25.6,313.0,3.78,5,lh
2018-02-02,30.1,23.8,36.6,28.3,2018-02-02T06:46,2018-02-02T18:43,20.65,1.9,0.0,11.1,24.5,108.0,4.16,5,lh
2018-02-03,29.8,24.5,34.8,28.9,2018-02-03T06:46,2018-02-03T18:43,17.25,1.9,0.0,14.1,28.8,115.0,3.67,5,lh
2018-02-04,30.1,23.6,36.3,27.8,2018-02-04T06:46,2018-02-04T18:43,20.02,0.3,0.0,13.8,30.2,116.0,4.08,5,lh
2018-02-05,30.0,23.8,37.5,27.8,2018-02-05T06:46,2018-02-05T18:44,21.33,0.6,0.0,11.1,28.1,99.0,4.27,5,lh
2018-02-06,28.9,23.7,33.1,27.8,2018-02-06T06:46,2018-02-06T18:44,17.49,1.0,0.0,15.6,29.9,110.0,3.68,5,lh
2018-02-07,29.3,23.5,34.3,26.8,2018-02-07T06:46,2018-02-07T18:44,20.71,0.2,0.0,11.8,24.8,102.0,4.24,5,lh
2018-02-08,29.5,23.4,34.8,27.6,2018-02-08T06:46,2018-02-08T18:44,20.45,0.2,0.0,12.2,24.5,97.0,4.22,5,lh
2018-02-09,30.1,22.9,35.6,26.5,2018-02-09T06:46,2018-02-09T18:44,22.01,0.0,0.0,15.3,29.9,94.0,4.51,5,lh
2018-02-10,29.6,23.7,35.5,27.9,2018-02-10T06:46,2018-02-10T18:44,21.43,0.8,0.0,13.5,25.9,97.0,4.38,5,lh
2018-02-11,30.0,22.2,36.2,25.8,2018-02-11T06:46,2018-02-11T18:44,22.1,0.0,0.0,11.2,25.2,25.0,4.55,5,lh
2018-02-12,30.6,22.3,36.2,25.3,2018-02-12T06:46,2018-02-12T18:45,24.32,0.0,0.0,12.3,25.9,129.0,5.07,5,lh
2018-02-13,31.0,22.2,37.0,25.9,2018-02-13T06:45,2018-02-13T18:45,24.5,0.2,0.0,13.8,26.6,120.0,5.14,5,lh
2018-02-14,30.9,24.1,36.8,28.6,2018-02-14T06:45,2018-02-14T18:45,21.87,1.8,0.0,10.2,25.2,119.0,4.5,5,lh
2018-02-15,31.0,23.7,37.1,27.4,2018-02-15T06:45,2018-02-15T18:45,23.61,0.0,0.0,12.9,29.5,324.0,4.94,5,lh
2018-02-16,31.1,24.4,36.9,28.5,2018-02-16T06:45,2018-02-16T18:45,21.43,0.1,0.0,14.8,30.6,297.0,4.55,5,lh
2018-02-17,31.1,24.4,36.5,28.1,2018-02-17T06:45,2018-02-17T18:45,22.02,0.0,0.0,15.0,29.9,302.0,4.64,5,lh
2018-02-18,31.3,24.1,37.9,28.4,2018-02-18T06:45,2018-02-18T18:45,22.98,0.0,0.0,10.6,24.1,346.0,4.8,5,lh
2018-02-19,31.6,23.7,37.1,28.5,2018-02-19T06:44,2018-02-19T18:45,23.32,0.0,0.0,13.2,27.4,355.0,4.94,5,lh
2018-02-20,31.9,23.3,37.7,27.8,2018-02-20T06:44,2018-02-20T18:45,23.64,0.0,0.0,10.5,22.7,344.0,4.98,5,lh
2018-02-21,32.1,23.9,38.4,28.6,2018-02-21T06:44,2018-02-21T18:45,19.44,2.4,0.0,9.7,25.9,93.0,4.12,5,lh
2018-02-22,30.4,24.7,37.5,29.5,2018-02-22T06:44,2018-02-22T18:45,14.9,5.9,0.0,8.1,19.1,289.0,3.14,5,lh
2018-02-23,29.0,23.9,34.5,27.8,2018-02-23T06:43,2018-02-23T18:45,17.82,3.5,0.0,10.2,24.5,296.0,3.6,5,lh
