time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,29.9,24.7,36.2,29.5,2018-01-01T05:09,2018-01-01T17:23,14.99,14.2,0.0,8.4,21.2,17.0,3.13,58,p
2018-01-02,30.4,24.2,36.7,29.2,2018-01-02T05:10,2018-01-02T17:23,17.88,7.5,0.0,9.8,23.0,258.0,3.77,58,p
2018-01-03,29.3,25.4,36.0,31.2,2018-01-03T05:10,2018-01-03T17:24,12.16,16.9,0.0,9.5,24.1,200.0,2.6,58,p
2018-01-04,30.1,24.4,35.9,30.0,2018-01-04T05:10,2018-01-04T17:24,12.2,29.7,0.0,8.3,20.2,360.0,2.63,58,p
2018-01-05,30.4,25.7,37.4,31.5,2018-01-05T05:11,2018-01-05T17:25,15.53,16.9,0.0,7.0,21.2,294.0,3.23,58,p
2018-01-06,28.4,24.4,34.7,29.9,2018-01-06T05:11,2018-01-06T17:25,12.34,28.8,0.0,5.4,16.2,340.0,2.56,58,p
2018-01-07,30.1,24.9,35.4,30.2,2018-01-07T05:12,2018-01-07T17:25,10.88,8.3,0.0,8.9,24.5,331.0,2.42,58,p
2018-01-08,29.5,25.1,37.0,30.2,2018-01-08T05:12,2018-01-08T17:26,17.75,7.1,0.0,7.7,20.9,36.0,3.57,58,p
2018-01-09,28.8,24.5,34.2,29.5,2018-01-09T05:13,2018-01-09T17:26,14.31,3.6,0.0,7.9,21.6,43.0,2.97,58,p
2018-01-10,30.3,24.8,37.8,29.9,2018-01-10T05:13,2018-01-10T17:27,17.69,10.0,0.0,7.6,18.0,335.0,3.68,58,p
2018-01-11,28.6,24.8,34.4,30.0,2018-01-11T05:14,2018-01-11T17:27,15.02,8.8,0.0,5.6,20.5,264.0,3.04,58,p
2018-01-12,28.2,24.6,33.3,29.7,2018-01-12T05:14,2018-01-12T17:27,9.71,3.8,0.0,8.2,29.2,265.0,2.16,58,p
2018-01-13,30.0,24.6,34.3,28.7,2018-01-13T05:14,2018-01-13T17:28,16.8,3.8,0.0,10.7,28.1,213.0,3.51,58,p
2018-01-14,30.2,24.6,35.0,29.4,2018-01-14T05:15,2018-01-14T17:28,15.69,10.7,0.0,10.9,40.0,204.0,3.3,58,p
2018-01-15,31.7,24.7,36.8,29.9,2018-01-15T05:15,2018-01-15T17:28,18.37,2.3,0.0,10.8,24.1,236.0,4.08,58,p
2018-01-16,29.2,25.3,35.0,30.6,2018-01-16T05:16,2018-01-16T17:29,8.67,0.0,0.0,10.8,16.6,233.0,1.99,58,p
2018-01-17,30.6,24.7,36.1,29.3,2018-01-17T05:16,2018-01-17T17:29,20.21,1.7,0.0,10.2,25.2,181.0,4.32,58,p
2018-01-18,27.9,24.5,35.6,29.4,2018-01-18T05:16,2018-01-18T17:29,16.86,21.1,0.0,7.6,25.9,203.0,3.39,58,p
2018-01-19,29.6,24.5,36.4,29.6,2018-01-19T05:17,2018-01-19T17:30,16.17,9.8,0.0,8.2,25.2,232.0,3.24,58,p
2018-01-20,29.2,24.3,34.6,29.1,2018-01-20T05:17,2018-01-20T17:30,14.64,1.3,0.0,8.6,40.0,252.0,3.08,58,p
2018-01-21,30.9,25.0,39.1,29.8,2018-01-21T05:17,2018-01-21T17:30,19.99,8.2,0.0,8.6,29.2,31.0,4.16,58,p
2018-01-22,30.0,24.4,38.3,29.3,2018-01-22T05:17,2018-01-22T17:30,21.02,5.1,0.0,9.4,30.2,27.0,4.31,58,p
2018-01-23,30.8,25.0,37.9,29.2,2018-01-23T05:18,2018-01-23T17:31,19.68,14.2,0.0,10.8,29.9,35.0,4.06,58,p
2018-01-24,30.1,24.2,37.9,29.2,2018-01-24T05:18,2018-01-24T17:31,17.12,23.4,0.0,7.6,28.1,,3.52,58,p
2018-01-25,31.4,25.5,40.2,31.6,2018-01-25T05:18,2018-01-25T17:31,19.28,19.1,0.0,7.8,27.4,309.0,4.01,58,p
2018-01-26,29.1,24.9,36.5,29.8,2018-01-26T05:19,2018-01-26T17:31,17.56,5.4,0.0,9.4,20.5,29.0,3.54,58,p
