time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,-15.9,-22.0,-20.2,-27.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.56,12.8,19.4,37.0,0.04,0,q
2018-01-02,-22.0,-25.0,-27.5,-30.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.0,17.3,48.0,0.0,0,q
2018-01-03,-22.5,-23.7,-27.5,-29.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,9.3,15.1,54.0,0.0,0,q
2018-01-04,-23.6,-25.7,-28.7,-31.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.5,18.7,51.0,0.0,0,q
2018-01-05,-22.8,-25.5,-28.1,-31.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.2,19.1,53.0,0.0,0,q
2018-01-06,-20.0,-22.5,-26.3,-28.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.6,25.9,51.0,0.11,0,q
2018-01-07,-17.2,-19.9,-23.2,-26.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,15.8,24.5,38.0,0.24,0,q
2018-01-08,-17.7,-20.3,-23.7,-26.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,15.8,23.4,40.0,0.24,0,q
2018-01-09,-18.5,-21.1,-23.5,-26.7,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,11.6,19.1,25.0,0.09,0,q
2018-01-10,-19.4,-21.3,-24.3,-26.6,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,9.2,14.0,23.0,0.0,0,q
2018-01-11,-12.8,-20.7,-18.4,-25.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,21.4,30.6,28.0,0.04,0,q
2018-01-12,-8.2,-13.4,-14.7,-19.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.28,22.0,34.2,52.0,0.39,0,q
2018-01-13,-13.2,-17.5,-18.2,-22.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,13.1,22.3,35.0,0.11,0,q
2018-01-14,-16.5,-19.8,-21.1,-24.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.21,9.6,15.5,359.0,0.0,0,q
2018-01-15,-18.0,-22.3,-22.8,-27.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.0,14.8,31.0,0.0,0,q
2018-01-16,-17.0,-19.4,-22.3,-24.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,16.0,22.3,47.0,0.11,0,q
2018-01-17,-10.7,-18.5,-16.1,-24.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.6,23.4,36.0,0.14,0,q
2018-01-18,-14.1,-15.2,-20.5,-21.7,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,20.1,31.0,47.0,0.3,0,q
2018-01-19,-12.1,-15.6,-16.8,-21.6,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.2,25.2,17.0,0.07,0,q
2018-01-20,-13.8,-17.2,-18.3,-23.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,13.0,19.1,18.0,0.05,0,q
2018-01-21,-16.4,-18.8,-22.1,-24.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,14.5,20.5,48.0,0.24,0,q
2018-01-22,-16.1,-19.2,-21.1,-25.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,14.3,20.5,34.0,0.11,0,q
2018-01-23,-15.6,-18.9,-20.5,-24.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,11.3,15.8,25.0,0.07,0,q
2018-01-24,-18.9,-21.0,-24.4,-26.7,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.8,19.4,34.0,0.12,0,q
2018-01-25,-16.1,-19.1,-21.1,-24.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.7,14.4,32.0,0.04,0,q
2018-01-26,-17.6,-22.4,-22.9,-27.8,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.7,16.2,36.0,0.04,0,q
2018-01-27,-19.0,-22.6,-23.4,-27.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,9.5,13.7,32.0,0.0,0,q
2018-01-28,-20.8,-22.4,-25.3,-27.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,7.7,11.9,21.0,0.0,0,q
2018-01-29,-21.5,-23.6,-26.3,-28.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,6.8,10.8,18.0,0.0,0,q
2018-01-30,-23.4,-26.2,-28.1,-31.8,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.0,15.1,26.0,0.0,0,q
2018-01-31,-20.0,-26.3,-24.8,-32.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,11.5,18.7,29.0,0.0,0,q
2018-02-01,-21.3,-24.1,-26.4,-29.1,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,12.3,14.8,18.0,0.0,0,q
2018-02-02,-20.4,-23.9,-24.7,-30.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,19.0,27.7,56.0,0.05,0,q
2018-02-03,-21.9,-24.7,-26.4,-29.8,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,7.5,10.4,19.0,0.0,0,q
2018-02-04,-20.1,-25.8,-24.6,-30.9,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.0,23.4,7.0,0.0,0,q
2018-02-05,-22.4,-24.7,-28.9,-30.0,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,17.3,25.9,89.0,0.09,0,q
2018-02-06,-23.0,-26.3,-29.6,-32.3,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,18.3,29.5,56.0,0.13,0,q
2018-02-07,-17.1,-24.8,-21.5,-30.3,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,18.0,29.5,356.0,0.06,0,q
2018-02-08,-19.3,-23.8,-24.4,-29.2,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,10.1,18.7,63.0,0.0,0,q
2018-02-09,-20.4,-23.5,-24.8,-28.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.21,8.5,16.2,334.0,0.0,0,q
2018-02-10,-23.0,-28.1,-28.2,-33.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,11.0,18.4,62.0,0.0,0,q
2018-02-11,-24.8,-28.1,-29.6,-33.5,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,8.7,14.4,29.0,0.0,0,q
2018-02-12,-23.8,-25.6,-28.1,-30.4,1970-01-01T07:00,1970-01-01T07:00,0.0,0.0,0.0,8.0,19.8,282.0,0.0,0,q
2018-02-13,-19.7,-24.4,-24.0,-29.9,2018-02-13T22:53,2018-02-14T00:27,0.0,0.0,0.0,12.0,22.3,32.0,0.0,0,q
2018-02-14,-14.6,-21.7,-20.3,-26.9,2018-02-14T22:29,2018-02-15T00:52,0.0,0.0,0.0,17.7,28.8,357.0,0.07,0,q
2018-02-15,-14.4,-17.4,-19.7,-23.2,2018-02-15T22:10,2018-02-16T01:11,0.0,0.0,0.0,19.5,31.0,30.0,0.23,0,q
2018-02-16,-9.4,-16.1,-14.8,-22.1,2018-02-16T21:54,2018-02-17T01:27,0.0,0.0,0.0,19.1,30.6,31.0,0.2,0,q
2018-02-17,-12.1,-16.3,-16.1,-21.7,2018-02-17T21:40,2018-02-18T01:40,0.01,0.0,0.0,13.3,28.8,253.0,0.04,0,q
2018-02-18,-14.1,-17.3,-18.9,-22.2,2018-02-18T21:27,2018-02-19T01:53,0.03,0.0,0.0,9.7,20.5,267.0,0.02,0,q
2018-02-19,-10.3,-16.7,-14.4,-21.9,2018-02-19T21:16,2018-02-20T02:04,0.06,0.0,0.0,16.1,24.5,19.0,0.08,0,q
2018-02-20,-9.7,-16.4,-13.9,-21.5,2018-02-20T21:05,2018-02-21T02:15,0.11,0.0,0.0,14.8,23.0,8.0,0.04,0,q
2018-02-21,-13.9,-17.6,-19.4,-22.7,2018-02-21T20:54,2018-02-22T02:26,0.15,0.0,0.49,14.8,27.7,267.0,0.07,0,q
2018-02-22,-13.3,-19.1,-18.8,-23.5,2018-02-22T20:44,2018-02-23T02:35,0.15,0.0,0.28,19.3,32.0,338.0,0.1,0,q
2018-02-23,-12.7,-19.6,-17.6,-24.7,2018-02-23T20:34,2018-02-24T02:45,0.25,0.0,0.35,21.0,32.0,82.0,0.14,0,q
2018-02-24,-19.7,-22.8,-24.6,-28.2,2018-02-24T20:25,2018-02-25T02:54,0.3,0.0,0.14,12.6,25.9,347.0,0.03,0,q
2018-02-25,-16.0,-20.5,-20.3,-25.3,2018-02-25T20:16,2018-02-26T03:03,0.4,0.0,0.0,13.8,23.4,311.0,0.02,0,q
2018-02-26,-16.1,-21.9,-20.0,-28.2,2018-02-26T20:07,2018-02-27T03:11,0.48,0.0,0.0,20.0,33.1,,0.19,0,q
2018-02-27,-13.9,-19.8,-20.0,-26.5,2018-02-27T19:58,2018-02-28T03:20,0.48,0.0,0.0,18.7,30.2,69.0,0.29,0,q
2018-02-28,-8.1,-13.6,-13.8,-19.9,2018-02-28T19:50,2018-03-01T03:28,0.55,0.0,0.49,16.9,27.0,71.0,0.42,0,q
2018-03-01,-7.8,-10.1,-13.7,-15.5,2018-03-01T19:41,2018-03-02T03:36,0.58,0.0,0.14,19.3,29.9,66.0,0.36,0,q
2018-03-02,-6.1,-8.1,-11.0,-13.4,2018-03-02T19:33,2018-03-03T03:44,0.64,0.0,0.56,17.1,25.9,40.0,0.18,0,q
2018-03-03,-7.2,-11.0,-11.0,-15.2,2018-03-03T19:25,2018-03-04T03:51,0.91,0.0,0.56,7.6,13.0,356.0,0.05,0,q
2018-03-04,-10.4,-13.6,-14.4,-18.3,2018-03-04T19:17,2018-03-05T03:59,1.11,0.0,0.0,8.2,11.5,355.0,0.05,0,q
2018-03-05,-10.5,-13.1,-14.7,-18.3,2018-03-05T19:09,2018-03-06T04:06,1.21,0.0,0.42,10.2,14.8,41.0,0.1,0,q
2018-03-06,-10.7,-16.4,-14.6,-20.9,2018-03-06T19:01,2018-03-07T04:14,1.0,0.0,2.8,7.6,17.3,262.0,0.06,0,q
