time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,3.4,-0.4,-1.7,-5.0,2018-01-01T05:04,2018-01-01T14:11,5.75,0.3,2.17,22.9,41.4,106.0,0.73,17,sa
2018-01-02,2.4,-5.1,-1.9,-9.1,2018-01-02T05:04,2018-01-02T14:12,3.5,1.3,2.73,26.1,40.3,180.0,0.48,17,sa
2018-01-03,0.4,-5.4,-4.2,-9.3,2018-01-03T05:04,2018-01-03T14:13,6.21,0.1,0.91,15.7,30.2,334.0,0.57,17,sa
2018-01-04,0.4,-1.2,-3.8,-5.1,2018-01-04T05:04,2018-01-04T14:14,4.4,0.0,2.8,18.1,25.9,321.0,0.59,17,sa
2018-01-05,1.0,-1.0,-4.0,-6.0,2018-01-05T05:04,2018-01-05T14:15,4.11,0.0,1.05,17.5,25.9,265.0,0.62,17,sa
2018-01-06,-0.0,-2.4,-4.6,-8.4,2018-01-06T05:04,2018-01-06T14:16,4.8,0.2,3.92,22.7,36.0,308.0,0.53,17,sa
2018-01-07,0.2,-3.7,-5.0,-10.1,2018-01-07T05:04,2018-01-07T14:17,5.52,0.6,1.54,26.3,43.9,282.0,0.75,17,sa
2018-01-08,3.4,-0.0,-0.3,-5.3,2018-01-08T05:03,2018-01-08T14:18,5.1,0.1,0.0,19.1,33.1,180.0,0.8,17,sa
2018-01-09,4.4,-2.3,0.9,-11.4,2018-01-09T05:03,2018-01-09T14:19,4.77,6.1,0.42,42.2,64.4,236.0,0.8,17,sa
2018-01-10,-1.2,-5.8,-8.4,-11.9,2018-01-10T05:03,2018-01-10T14:20,6.93,0.0,0.84,45.8,75.2,257.0,1.04,17,sa
2018-01-11,-1.0,-7.2,-6.0,-12.9,2018-01-11T05:03,2018-01-11T14:21,8.49,0.0,0.0,17.6,29.9,158.0,0.87,17,sa
2018-01-12,-1.2,-5.5,-5.1,-9.6,2018-01-12T05:02,2018-01-12T14:22,7.05,0.0,1.19,12.3,22.0,331.0,0.59,17,sa
2018-01-13,-2.2,-6.4,-5.8,-10.9,2018-01-13T05:02,2018-01-13T14:23,7.37,0.1,2.59,14.3,22.0,287.0,0.55,17,sa
2018-01-14,0.2,-6.2,-4.3,-11.0,2018-01-14T05:02,2018-01-14T14:25,7.03,0.0,0.49,15.1,23.4,244.0,0.73,17,sa
2018-01-15,2.9,-3.8,-0.7,-8.7,2018-01-15T05:01,2018-01-15T14:26,4.87,2.9,2.87,29.2,49.7,216.0,0.64,17,sa
