time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,29.4,25.7,36.9,31.4,2018-01-01T05:04,2018-01-01T17:41,19.1,15.2,0.0,6.7,24.5,220.0,3.92,0,si
2018-01-02,30.6,25.1,38.9,31.0,2018-01-02T05:05,2018-01-02T17:42,21.16,26.9,0.0,5.8,24.8,37.0,4.28,0,si
2018-01-03,31.0,25.5,41.4,31.5,2018-01-03T05:05,2018-01-03T17:42,22.86,37.8,0.0,5.4,26.3,171.0,4.69,0,si
2018-01-04,31.4,26.2,40.9,32.4,2018-01-04T05:06,2018-01-04T17:43,23.53,25.3,0.0,7.8,29.9,35.0,4.78,0,si
2018-01-05,30.3,25.6,39.5,31.6,2018-01-05T05:06,2018-01-05T17:43,21.47,21.0,0.0,7.2,23.4,242.0,4.39,0,si
2018-01-06,30.8,25.6,40.4,31.5,2018-01-06T05:07,2018-01-06T17:43,22.05,33.8,0.0,5.1,25.6,224.0,4.48,0,si
2018-01-07,30.1,25.4,38.7,30.9,2018-01-07T05:07,2018-01-07T17:44,17.81,17.4,0.0,9.2,23.8,347.0,3.58,0,si
2018-01-08,32.1,25.4,41.0,31.1,2018-01-08T05:08,2018-01-08T17:44,23.85,5.6,0.0,8.0,24.5,21.0,4.86,0,si
2018-01-09,32.1,25.5,43.0,31.3,2018-01-09T05:08,2018-01-09T17:44,22.62,8.2,0.0,7.1,24.1,345.0,4.69,0,si
2018-01-10,30.4,25.6,37.2,30.5,2018-01-10T05:09,2018-01-10T17:45,18.35,13.4,0.0,10.6,33.5,221.0,3.79,0,si
2018-01-11,28.1,24.9,34.7,29.8,2018-01-11T05:09,2018-01-11T17:45,6.36,36.3,0.0,12.6,43.6,227.0,1.43,0,si
2018-01-12,28.4,25.1,34.4,30.5,2018-01-12T05:10,2018-01-12T17:45,13.47,9.2,0.0,6.6,37.4,,2.85,0,si
2018-01-13,31.0,25.4,38.0,30.8,2018-01-13T05:10,2018-01-13T17:45,18.31,1.2,0.0,6.3,18.4,20.0,3.82,0,si
2018-01-14,30.4,25.6,37.8,31.5,2018-01-14T05:11,2018-01-14T17:46,16.88,1.1,0.0,6.6,29.9,57.0,3.58,0,si
2018-01-15,29.8,25.5,38.0,30.3,2018-01-15T05:11,2018-01-15T17:46,17.52,6.7,0.0,7.6,28.8,7.0,3.65,0,si
2018-01-16,29.2,25.7,36.5,31.4,2018-01-16T05:12,2018-01-16T17:46,9.0,13.5,0.0,7.9,21.6,349.0,1.98,0,si
2018-01-17,30.6,25.8,37.2,31.7,2018-01-17T05:12,2018-01-17T17:46,13.82,3.8,0.0,4.3,19.1,49.0,3.0,0,si
2018-01-18,31.2,25.5,38.9,30.8,2018-01-18T05:13,2018-01-18T17:46,21.23,2.4,0.0,7.6,31.0,328.0,4.42,0,si
2018-01-19,30.2,25.3,36.3,30.7,2018-01-19T05:13,2018-01-19T17:47,16.64,6.5,0.0,9.4,37.4,216.0,3.38,0,si
2018-01-20,28.4,25.4,35.0,30.2,2018-01-20T05:13,2018-01-20T17:47,13.35,12.1,0.0,9.8,33.5,222.0,2.72,0,si
2018-01-21,28.2,26.0,35.9,32.0,2018-01-21T05:14,2018-01-21T17:47,13.46,30.7,0.0,5.4,33.8,215.0,2.81,0,si
2018-01-22,30.3,25.5,38.2,31.7,2018-01-22T05:14,2018-01-22T17:47,20.44,13.4,0.0,11.2,32.0,352.0,4.1,0,si
2018-01-23,29.9,25.4,38.2,31.4,2018-01-23T05:15,2018-01-23T17:47,17.9,13.1,0.0,8.6,25.6,328.0,3.68,0,si
2018-01-24,29.4,25.6,37.5,31.9,2018-01-24T05:15,2018-01-24T17:47,16.91,9.6,0.0,5.9,37.1,300.0,3.45,0,si
2018-01-25,29.9,25.3,38.1,30.8,2018-01-25T05:16,2018-01-25T17:47,16.41,10.2,0.0,7.4,40.0,208.0,3.42,0,si
2018-01-26,29.6,25.7,37.5,31.6,2018-01-26T05:16,2018-01-26T17:47,19.83,8.2,0.0,9.5,34.6,354.0,3.95,0,si
2018-01-27,30.5,25.6,38.8,31.6,2018-01-27T05:16,2018-01-27T17:47,21.95,9.4,0.0,5.6,29.2,9.0,4.51,0,si
2018-01-28,30.8,26.4,37.3,32.7,2018-01-28T05:17,2018-01-28T17:47,19.5,7.5,0.0,11.9,33.5,0.0,4.01,0,si
2018-01-29,30.3,26.9,37.6,32.5,2018-01-29T05:17,2018-01-29T17:47,17.79,17.6,0.0,12.2,35.3,334.0,3.64,0,si
2018-01-30,31.2,25.5,39.7,31.4,2018-01-30T05:17,2018-01-30T17:48,23.09,11.5,0.0,8.9,34.2,309.0,4.7,0,si
2018-01-31,30.2,25.6,37.2,31.2,2018-01-31T05:18,2018-01-31T17:47,21.39,8.5,0.0,8.4,24.8,340.0,4.32,0,si
2018-02-01,27.3,25.4,34.3,30.9,2018-02-01T05:18,2018-02-01T17:47,13.09,12.9,0.0,6.3,29.9,211.0,2.64,0,si
2018-02-02,28.9,24.8,35.5,30.0,2018-02-02T05:18,2018-02-02T17:47,14.76,10.2,0.0,8.5,28.4,217.0,2.99,0,si
2018-02-03,30.5,25.2,37.2,30.8,2018-02-03T05:19,2018-02-03T17:47,19.31,15.0,0.0,8.5,31.7,313.0,3.96,0,si
2018-02-04,31.4,25.6,40.0,31.1,2018-02-04T05:19,2018-02-04T17:47,23.0,12.6,0.0,6.6,35.3,217.0,4.82,0,si
2018-02-05,30.2,25.9,38.0,31.2,2018-02-05T05:19,2018-02-05T17:47,19.87,10.5,0.0,10.5,35.6,212.0,4.03,0,si
2018-02-06,31.5,25.2,40.0,30.4,2018-02-06T05:19,2018-02-06T17:47,23.08,2.0,0.0,11.2,34.2,217.0,4.65,0,si
2018-02-07,29.9,25.2,36.6,30.6,2018-02-07T05:20,2018-02-07T17:47,22.43,1.5,0.0,7.0,23.4,246.0,4.57,0,si
2018-02-08,30.0,25.5,36.9,31.2,2018-02-08T05:20,2018-02-08T17:47,18.89,2.6,0.0,5.1,24.5,280.0,3.86,0,si
2018-02-09,31.3,25.2,39.7,30.7,2018-02-09T05:20,2018-02-09T17:47,21.68,4.5,0.0,7.7,29.5,229.0,4.39,0,si
2018-02-10,30.4,25.0,37.9,30.4,2018-02-10T05:20,2018-02-10T17:46,23.46,0.8,0.0,5.8,24.1,244.0,4.79,0,si
2018-02-11,31.1,24.9,41.1,30.4,2018-02-11T05:21,2018-02-11T17:46,23.71,22.1,0.0,10.3,28.8,358.0,4.72,0,si
2018-02-12,31.7,25.5,42.0,31.2,2018-02-12T05:21,2018-02-12T17:46,23.66,12.9,0.0,8.4,26.3,318.0,4.78,0,si
2018-02-13,31.6,25.6,40.0,31.6,2018-02-13T05:21,2018-02-13T17:46,24.9,5.3,0.0,6.2,37.8,263.0,5.15,0,si
2018-02-14,30.2,25.0,37.5,31.1,2018-02-14T05:21,2018-02-14T17:45,15.69,4.0,0.0,7.8,33.8,277.0,3.28,0,si
2018-02-15,28.5,25.6,35.3,30.5,2018-02-15T05:21,2018-02-15T17:45,13.18,11.7,0.0,8.5,31.0,228.0,2.65,0,si
2018-02-16,31.1,25.4,37.7,31.0,2018-02-16T05:22,2018-02-16T17:45,19.17,2.6,0.0,6.0,29.9,356.0,3.99,0,si
2018-02-17,31.2,25.2,39.6,31.3,2018-02-17T05:22,2018-02-17T17:45,21.13,16.7,0.0,9.4,32.0,279.0,4.35,0,si
2018-02-18,31.9,25.9,40.3,31.9,2018-02-18T05:22,2018-02-18T17:44,24.33,0.8,0.0,5.6,24.1,271.0,5.06,0,si
2018-02-19,31.3,25.8,39.2,31.4,2018-02-19T05:22,2018-02-19T17:44,25.39,0.3,0.0,6.9,25.6,311.0,5.22,0,si
2018-02-20,31.4,25.0,40.7,30.4,2018-02-20T05:22,2018-02-20T17:44,23.56,16.4,0.0,7.3,26.3,328.0,4.81,0,si
2018-02-21,31.6,25.8,39.8,32.0,2018-02-21T05:22,2018-02-21T17:43,24.43,3.8,0.0,8.7,25.6,354.0,5.02,0,si
2018-02-22,31.8,25.8,40.9,31.5,2018-02-22T05:22,2018-02-22T17:43,20.77,9.3,0.0,5.8,23.8,11.0,4.31,0,si
2018-02-23,30.9,24.6,41.0,30.1,2018-02-23T05:22,2018-02-23T17:43,23.18,11.0,0.0,10.8,28.1,7.0,4.6,0,si
2018-02-24,31.1,25.4,39.5,31.5,2018-02-24T05:22,2018-02-24T17:42,22.33,18.8,0.0,7.6,29.9,336.0,4.49,0,si
2018-02-25,29.9,24.9,38.0,30.0,2018-02-25T05:23,2018-02-25T17:42,22.36,7.0,0.0,9.7,26.6,199.0,4.46,0,si
2018-02-26,29.8,25.0,37.1,30.0,2018-02-26T05:23,2018-02-26T17:42,19.98,26.2,0.0,6.0,25.6,208.0,4.04,0,si
2018-02-27,31.2,25.2,40.4,30.7,2018-02-27T05:23,2018-02-27T17:41,25.22,1.0,0.0,5.7,22.0,,5.2,0,si
2018-02-28,31.3,25.3,41.6,30.5,2018-02-28T05:23,2018-02-28T17:41,25.81,10.2,0.0,4.6,23.0,,5.3,0,si
2018-03-01,31.3,25.3,40.3,31.2,2018-03-01T05:23,2018-03-01T17:40,24.79,13.4,0.0,12.0,32.0,5.0,4.89,0,si
2018-03-02,31.4,25.4,40.3,31.4,2018-03-02T05:23,2018-03-02T17:40,21.42,10.9,0.0,7.3,24.1,213.0,4.42,0,si
2018-03-03,31.1,25.7,39.3,31.6,2018-03-03T05:23,2018-03-03T17:39,24.04,2.3,0.0,11.5,30.6,12.0,4.75,0,si
2018-03-04,32.8,25.8,43.1,31.3,2018-03-04T05:23,2018-03-04T17:39,22.19,10.9,0.0,7.6,28.1,20.0,4.6,0,si
2018-03-05,31.2,25.6,39.2,31.6,2018-03-05T05:23,2018-03-05T17:39,23.41,15.6,0.0,9.0,25.2,15.0,4.71,0,si
2018-03-06,31.5,25.4,41.7,31.1,2018-03-06T05:23,2018-03-06T17:38,24.02,9.6,0.0,6.8,22.3,111.0,4.95,0,si
2018-03-07,30.3,25.5,39.7,32.0,2018-03-07T05:23,2018-03-07T17:38,18.55,14.6,0.0,4.8,20.2,200.0,3.8,0,si
2018-03-08,30.9,24.8,39.4,30.5,2018-03-08T05:23,2018-03-08T17:37,19.45,12.6,0.0,6.3,21.6,245.0,4.01,0,si
2018-03-09,32.2,25.6,40.3,31.4,2018-03-09T05:23,2018-03-09T17:37,22.82,1.5,0.0,7.4,24.1,200.0,4.69,0,si
2018-03-10,31.7,25.4,41.0,31.1,2018-03-10T05:23,2018-03-10T17:36,25.82,0.9,0.0,4.7,20.5,333.0,5.31,0,si
2018-03-11,30.7,25.1,39.7,31.0,2018-03-11T05:23,2018-03-11T17:36,24.86,14.9,0.0,8.6,24.1,17.0,5.02,0,si
2018-03-12,31.1,25.5,39.7,31.0,2018-03-12T05:23,2018-03-12T17:35,23.25,17.3,0.0,5.8,23.0,32.0,4.73,0,si
2018-03-13,30.4,25.3,38.3,30.7,2018-03-13T05:23,2018-03-13T17:35,20.57,48.8,0.0,7.1,27.7,5.0,4.1,0,si
2018-03-14,30.5,25.7,37.4,30.8,2018-03-14T05:23,2018-03-14T17:34,16.54,22.1,0.0,8.7,23.8,207.0,3.43,0,si
2018-03-15,31.2,26.2,39.8,32.0,2018-03-15T05:22,2018-03-15T17:34,19.51,8.2,0.0,8.1,25.2,189.0,3.99,0,si
2018-03-16,30.2,25.8,38.1,31.2,2018-03-16T05:22,2018-03-16T17:33,19.13,30.8,0.0,6.2,24.8,224.0,3.9,0,si
2018-03-17,30.8,25.0,40.0,30.4,2018-03-17T05:22,2018-03-17T17:33,22.09,27.2,0.0,5.2,22.7,16.0,4.52,0,si
2018-03-18,31.8,24.5,40.8,29.7,2018-03-18T05:22,2018-03-18T17:32,24.8,4.6,0.0,8.0,24.5,37.0,5.09,0,si
2018-03-19,32.2,24.8,41.0,30.4,2018-03-19T05:22,2018-03-19T17:32,26.05,0.1,0.0,7.7,21.2,195.0,5.4,0,si
2018-03-20,31.7,24.1,40.3,28.8,2018-03-20T05:22,2018-03-20T17:31,26.46,0.0,0.0,6.3,20.2,262.0,5.43,0,si
2018-03-21,32.6,26.0,41.7,31.3,2018-03-21T05:22,2018-03-21T17:31,24.37,3.4,0.0,11.9,37.4,14.0,4.96,0,si
2018-03-22,31.3,25.6,41.4,31.4,2018-03-22T05:22,2018-03-22T17:30,19.67,6.3,0.0,7.9,25.2,6.0,4.02,0,si
2018-03-23,32.5,25.7,40.1,31.2,2018-03-23T05:22,2018-03-23T17:30,24.67,0.1,0.0,8.2,24.5,186.0,5.16,0,si
2018-03-24,32.2,26.0,39.6,30.8,2018-03-24T05:22,2018-03-24T17:29,22.99,3.5,0.0,10.2,31.0,192.0,4.81,0,si
2018-03-25,30.1,25.6,38.4,30.6,2018-03-25T05:22,2018-03-25T17:29,23.34,5.3,0.0,11.3,34.6,200.0,4.52,0,si
2018-03-26,32.1,26.1,41.7,31.9,2018-03-26T05:22,2018-03-26T17:28,23.63,6.0,0.0,6.3,23.8,217.0,4.85,0,si
2018-03-27,30.4,25.7,38.8,31.2,2018-03-27T05:22,2018-03-27T17:28,20.26,1.0,0.0,8.4,27.4,207.0,4.11,0,si
2018-03-28,31.8,25.7,40.6,31.1,2018-03-28T05:22,2018-03-28T17:27,24.04,2.2,0.0,7.6,29.5,216.0,4.9,0,si
2018-03-29,32.1,25.4,41.8,30.8,2018-03-29T05:21,2018-03-29T17:27,24.21,1.7,0.0,7.3,22.0,230.0,4.98,0,si
2018-03-30,31.8,25.6,40.1,31.4,2018-03-30T05:21,2018-03-30T17:26,22.96,3.9,0.0,7.1,25.6,328.0,4.75,0,si
2018-03-31,31.2,25.5,41.5,30.7,2018-03-31T05:21,2018-03-31T17:25,21.73,23.8,0.0,8.9,25.6,328.0,4.44,0,si
2018-04-01,31.4,25.4,40.5,31.0,2018-04-01T05:21,2018-04-01T17:25,23.91,12.4,0.0,7.4,24.5,36.0,4.9,0,si
2018-04-02,31.9,25.4,41.9,31.4,2018-04-02T05:21,2018-04-02T17:24,23.83,20.9,0.0,4.9,21.6,155.0,4.96,0,si
2018-04-03,32.0,25.8,41.1,31.5,2018-04-03T05:21,2018-04-03T17:24,23.16,1.3,0.0,10.6,31.0,190.0,4.7,0,si
2018-04-04,32.1,26.4,40.9,32.5,2018-04-04T05:21,2018-04-04T17:23,23.58,12.8,0.0,8.8,25.2,187.0,4.84,0,si
2018-04-05,32.7,26.1,42.2,32.2,2018-04-05T05:21,2018-04-05T17:23,24.51,0.9,0.0,6.9,25.9,174.0,5.1,0,si
2018-04-06,31.8,26.0,41.0,32.2,2018-04-06T05:21,2018-04-06T17:22,24.51,13.7,0.0,6.0,21.2,155.0,5.01,0,si
2018-04-07,32.1,25.7,41.1,31.7,2018-04-07T05:21,2018-04-07T17:22,23.89,15.7,0.0,8.5,23.8,44.0,4.92,0,si
2018-04-08,31.7,25.1,41.4,30.6,2018-04-08T05:21,2018-04-08T17:21,23.02,29.2,0.0,7.7,31.3,36.0,4.67,0,si
2018-04-09,31.7,25.4,40.9,31.6,2018-04-09T05:21,2018-04-09T17:21,22.98,46.6,0.0,6.2,25.2,168.0,4.74,0,si
2018-04-10,32.2,26.6,41.1,32.6,2018-04-10T05:21,2018-04-10T17:20,23.23,6.8,0.0,6.2,22.7,162.0,4.83,0,si
2018-04-11,32.5,26.6,41.9,32.8,2018-04-11T05:21,2018-04-11T17:20,23.7,6.9,0.0,6.1,22.3,162.0,4.86,0,si
2018-04-12,32.5,26.2,41.9,32.3,2018-04-12T05:21,2018-04-12T17:19,22.67,11.3,0.0,5.2,22.3,50.0,4.74,0,si
2018-04-13,32.1,26.8,41.6,32.9,2018-04-13T05:20,2018-04-13T17:19,23.13,11.7,0.0,7.5,29.5,165.0,4.76,0,si
2018-04-14,32.0,26.9,41.9,33.5,2018-04-14T05:20,2018-04-14T17:19,24.47,2.0,0.0,5.2,22.3,157.0,5.12,0,si
2018-04-15,32.9,27.1,43.0,33.5,2018-04-15T05:20,2018-04-15T17:18,23.8,1.0,0.0,10.1,26.6,180.0,4.86,0,si
2018-04-16,32.5,26.4,41.7,32.6,2018-04-16T05:20,2018-04-16T17:18,23.25,7.1,0.0,6.6,21.2,170.0,4.9,0,si
2018-04-17,32.0,26.4,40.6,31.9,2018-04-17T05:20,2018-04-17T17:17,20.17,10.7,0.0,6.0,25.2,166.0,4.22,0,si
2018-04-18,32.3,25.6,42.1,31.0,2018-04-18T05:20,2018-04-18T17:17,23.74,5.9,0.0,5.0,22.7,166.0,4.94,0,si
2018-04-19,32.3,26.2,41.0,32.3,2018-04-19T05:20,2018-04-19T17:16,22.62,8.4,0.0,6.4,22.3,147.0,4.65,0,si
2018-04-20,32.5,25.7,42.2,31.7,2018-04-20T05:20,2018-04-20T17:16,22.63,7.1,0.0,6.5,20.9,86.0,4.73,0,si
2018-04-21,31.7,26.2,42.1,32.5,2018-04-21T05:20,2018-04-21T17:16,20.16,35.7,0.0,6.1,25.6,80.0,4.21,0,si
2018-04-22,31.3,26.2,40.5,32.6,2018-04-22T05:20,2018-04-22T17:15,19.45,32.2,0.0,5.9,23.4,116.0,4.08,0,si
2018-04-23,33.3,25.7,41.4,31.3,2018-04-23T05:20,2018-04-23T17:15,21.76,4.8,0.0,5.9,25.6,,4.54,0,si
2018-04-24,31.9,26.4,40.1,32.4,2018-04-24T05:20,2018-04-24T17:14,22.39,1.2,0.0,6.9,22.3,175.0,4.67,0,si
2018-04-25,31.7,25.8,41.4,31.2,2018-04-25T05:20,2018-04-25T17:14,23.08,3.0,0.0,6.1,19.8,171.0,4.76,0,si
2018-04-26,31.2,25.3,39.7,30.9,2018-04-26T05:20,2018-04-26T17:14,21.24,0.6,0.0,5.0,19.4,86.0,4.4,0,si
2018-04-27,31.2,25.5,40.9,31.2,2018-04-27T05:20,2018-04-27T17:13,22.87,4.0,0.0,4.3,22.0,116.0,4.7,0,si
2018-04-28,31.2,25.9,38.6,31.2,2018-04-28T05:20,2018-04-28T17:13,22.36,0.2,0.0,10.8,29.9,179.0,4.63,0,si
2018-04-29,31.2,24.5,38.5,29.2,2018-04-29T05:20,2018-04-29T17:13,23.44,0.0,0.0,10.5,32.0,184.0,4.75,0,si
2018-04-30,30.6,24.1,37.8,29.2,2018-04-30T05:20,2018-04-30T17:12,22.69,1.5,0.0,7.2,24.1,178.0,4.56,0,si
2018-05-01,30.4,24.6,38.0,29.8,2018-05-01T05:20,2018-05-01T17:12,22.91,1.1,0.0,10.2,26.6,180.0,4.55,0,si
