time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,29.9,26.0,36.3,31.6,2018-01-01T05:15,2018-01-01T17:49,17.59,7.7,0.0,6.9,20.2,277.0,3.61,0,su
2018-01-02,30.6,25.7,37.7,31.2,2018-01-02T05:15,2018-01-02T17:50,19.87,9.4,0.0,7.1,18.0,168.0,4.11,0,su
2018-01-03,31.8,25.9,40.3,31.7,2018-01-03T05:16,2018-01-03T17:50,20.44,7.8,0.0,8.1,21.2,125.0,4.23,0,su
2018-01-04,30.8,26.0,39.1,31.6,2018-01-04T05:16,2018-01-04T17:50,20.44,29.7,0.0,7.2,21.6,190.0,4.22,0,su
2018-01-05,30.9,25.2,37.6,29.9,2018-01-05T05:17,2018-01-05T17:51,20.1,22.5,0.0,6.9,21.2,241.0,4.16,0,su
2018-01-06,31.0,25.6,38.1,30.9,2018-01-06T05:17,2018-01-06T17:51,19.81,8.7,0.0,10.3,20.2,253.0,4.08,0,su
2018-01-07,29.3,25.1,34.7,29.9,2018-01-07T05:18,2018-01-07T17:52,13.01,7.8,0.0,10.6,22.7,284.0,2.78,0,su
2018-01-08,31.4,25.4,38.0,30.6,2018-01-08T05:18,2018-01-08T17:52,19.78,6.4,0.0,7.1,17.6,133.0,4.21,0,su
2018-01-09,31.9,25.7,39.3,31.2,2018-01-09T05:19,2018-01-09T17:52,20.13,9.1,0.0,12.1,25.6,272.0,4.22,0,su
2018-01-10,31.9,25.5,36.9,29.8,2018-01-10T05:19,2018-01-10T17:53,19.46,10.1,0.0,14.8,34.2,278.0,4.24,0,su
2018-01-11,30.8,25.2,35.1,29.3,2018-01-11T05:20,2018-01-11T17:53,14.15,4.2,0.0,14.9,35.6,276.0,3.16,0,su
2018-01-12,30.7,24.7,36.1,28.8,2018-01-12T05:20,2018-01-12T17:53,15.45,3.1,0.0,11.3,45.4,280.0,3.5,0,su
2018-01-13,29.9,25.9,33.8,30.5,2018-01-13T05:21,2018-01-13T17:53,14.65,2.6,0.0,20.6,43.9,279.0,3.3,0,su
2018-01-14,30.6,25.8,36.3,29.9,2018-01-14T05:21,2018-01-14T17:54,16.18,4.2,0.0,14.2,31.7,277.0,3.54,0,su
2018-01-15,30.6,25.6,35.7,30.1,2018-01-15T05:22,2018-01-15T17:54,16.94,4.0,0.0,15.6,30.2,290.0,3.61,0,su
2018-01-16,31.1,25.7,36.8,29.7,2018-01-16T05:22,2018-01-16T17:54,20.66,2.0,0.0,18.8,33.1,287.0,4.44,0,su
2018-01-17,31.8,26.0,37.8,30.3,2018-01-17T05:23,2018-01-17T17:54,19.81,5.3,0.0,12.8,27.0,272.0,4.36,0,su
2018-01-18,31.3,25.6,37.6,30.3,2018-01-18T05:23,2018-01-18T17:55,21.78,17.8,0.0,15.0,34.9,284.0,4.41,0,su
2018-01-19,31.2,25.3,37.7,29.3,2018-01-19T05:24,2018-01-19T17:55,16.7,32.0,0.0,13.7,27.7,274.0,3.53,0,su
2018-01-20,29.6,24.9,34.8,29.1,2018-01-20T05:24,2018-01-20T17:55,15.2,21.7,0.0,12.3,32.8,279.0,3.17,0,su
