time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,19.4,11.7,23.2,11.5,2018-01-01T03:43,2018-01-01T16:07,16.07,17.8,0.0,5.1,34.2,61.0,2.99,2678,t
2018-01-02,18.1,10.8,18.7,10.3,2018-01-02T03:43,2018-01-02T16:07,14.4,2.7,0.0,5.1,22.0,47.0,2.75,2678,t
2018-01-03,18.5,11.5,20.6,11.4,2018-01-03T03:44,2018-01-03T16:07,14.26,21.9,0.0,5.1,33.8,132.0,2.69,2678,t
2018-01-04,16.6,10.9,17.5,10.9,2018-01-04T03:44,2018-01-04T16:08,6.86,29.9,0.0,3.7,23.0,160.0,1.38,2678,t
2018-01-05,18.5,10.3,20.0,10.0,2018-01-05T03:45,2018-01-05T16:08,11.17,12.5,0.0,2.9,26.3,124.0,2.17,2678,t
2018-01-06,19.7,9.1,23.7,8.5,2018-01-06T03:45,2018-01-06T16:09,21.35,30.9,0.0,5.6,38.9,149.0,3.78,2678,t
2018-01-07,17.2,11.0,19.8,10.7,2018-01-07T03:46,2018-01-07T16:09,17.22,2.1,0.0,4.0,26.6,69.0,3.16,2678,t
2018-01-08,18.6,10.9,21.8,10.9,2018-01-08T03:46,2018-01-08T16:09,17.26,17.3,0.0,4.4,35.3,134.0,3.16,2678,t
2018-01-09,18.7,11.9,20.8,12.1,2018-01-09T03:47,2018-01-09T16:10,11.68,25.5,0.0,4.6,33.5,198.0,2.14,2678,t
2018-01-10,17.6,11.6,19.2,11.6,2018-01-10T03:47,2018-01-10T16:10,15.04,23.4,0.0,4.2,33.5,115.0,2.76,2678,t
2018-01-11,16.7,10.3,17.7,9.8,2018-01-11T03:48,2018-01-11T16:10,4.76,40.2,0.0,4.9,20.9,,1.06,2678,t
2018-01-12,18.2,9.7,19.3,9.1,2018-01-12T03:48,2018-01-12T16:11,13.97,12.8,0.0,6.3,32.8,147.0,2.55,2678,t
2018-01-13,19.0,9.9,22.8,9.4,2018-01-13T03:48,2018-01-13T16:11,17.68,12.3,0.0,5.0,31.7,162.0,3.1,2678,t
2018-01-14,15.2,11.0,15.5,10.9,2018-01-14T03:49,2018-01-14T16:11,7.68,29.4,0.0,4.2,24.5,125.0,1.51,2678,t
2018-01-15,18.7,9.8,20.6,9.1,2018-01-15T03:49,2018-01-15T16:12,14.27,25.0,0.0,3.8,31.7,67.0,2.65,2678,t
2018-01-16,17.6,12.2,20.4,12.1,2018-01-16T03:50,2018-01-16T16:12,14.62,28.7,0.0,4.7,33.5,121.0,2.6,2678,t
2018-01-17,17.2,10.9,18.8,10.8,2018-01-17T03:50,2018-01-17T16:12,12.38,30.3,0.0,4.8,35.3,32.0,2.34,2678,t
2018-01-18,17.8,11.8,19.5,11.5,2018-01-18T03:51,2018-01-18T16:12,8.22,25.6,0.0,4.8,28.1,12.0,1.67,2678,t
2018-01-19,16.0,11.7,16.8,11.1,2018-01-19T03:51,2018-01-19T16:13,7.48,27.4,0.0,4.6,23.0,351.0,1.49,2678,t
2018-01-20,17.7,11.2,19.2,10.7,2018-01-20T03:51,2018-01-20T16:13,16.24,21.3,0.0,4.9,25.6,46.0,2.9,2678,t
2018-01-21,17.5,10.5,19.0,10.2,2018-01-21T03:52,2018-01-21T16:13,13.64,17.7,0.0,3.4,32.4,76.0,2.49,2678,t
2018-01-22,17.4,9.6,18.8,9.2,2018-01-22T03:52,2018-01-22T16:13,15.15,15.8,0.0,4.1,34.9,97.0,2.77,2678,t
2018-01-23,19.0,11.2,21.9,10.9,2018-01-23T03:52,2018-01-23T16:13,15.21,26.8,0.0,4.3,31.7,114.0,2.81,2678,t
2018-01-24,16.9,11.5,18.1,11.6,2018-01-24T03:53,2018-01-24T16:14,13.88,19.4,0.0,4.2,44.3,1.0,2.55,2678,t
2018-01-25,18.1,11.6,20.4,11.8,2018-01-25T03:53,2018-01-25T16:14,19.01,38.0,0.0,4.1,32.0,313.0,3.41,2678,t
2018-01-26,16.6,12.3,17.7,12.0,2018-01-26T03:53,2018-01-26T16:14,11.53,29.9,0.0,4.4,29.9,299.0,2.13,2678,t
2018-01-27,16.8,11.8,17.5,11.9,2018-01-27T03:54,2018-01-27T16:14,11.84,27.6,0.0,3.7,35.3,295.0,2.19,2678,t
2018-01-28,16.9,11.7,18.0,11.7,2018-01-28T03:54,2018-01-28T16:14,9.94,12.2,0.0,3.6,25.6,276.0,1.86,2678,t
2018-01-29,17.8,10.6,20.0,10.3,2018-01-29T03:54,2018-01-29T16:14,15.71,37.3,0.0,6.6,33.5,235.0,2.78,2678,t
2018-01-30,17.2,9.4,17.9,7.6,2018-01-30T03:55,2018-01-30T16:14,14.36,13.1,0.0,7.9,31.0,197.0,2.47,2678,t
2018-01-31,16.5,9.0,15.9,7.5,2018-01-31T03:55,2018-01-31T16:14,13.79,3.1,0.0,7.4,31.7,181.0,2.43,2678,t
2018-02-01,17.1,10.0,19.1,9.0,2018-02-01T03:55,2018-02-01T16:14,16.83,9.8,0.0,8.9,43.6,183.0,2.85,2678,t
2018-02-02,16.3,10.2,15.5,9.5,2018-02-02T03:55,2018-02-02T16:14,14.87,5.9,0.0,7.9,33.1,206.0,2.62,2678,t
2018-02-03,17.1,10.3,18.8,9.6,2018-02-03T03:55,2018-02-03T16:14,14.68,22.6,0.0,5.9,34.2,219.0,2.58,2678,t
2018-02-04,18.6,9.6,21.8,9.1,2018-02-04T03:56,2018-02-04T16:14,18.59,14.4,0.0,6.8,39.2,231.0,3.17,2678,t
2018-02-05,18.4,10.4,19.8,10.1,2018-02-05T03:56,2018-02-05T16:14,18.48,5.6,0.0,5.7,38.5,330.0,3.3,2678,t
2018-02-06,18.0,10.7,19.3,10.0,2018-02-06T03:56,2018-02-06T16:14,14.79,12.9,0.0,6.6,42.5,329.0,2.72,2678,t
2018-02-07,17.6,11.5,19.2,10.9,2018-02-07T03:56,2018-02-07T16:14,18.04,11.9,0.0,6.6,50.8,249.0,3.25,2678,t
2018-02-08,18.5,11.5,20.7,11.5,2018-02-08T03:56,2018-02-08T16:14,13.15,22.7,0.0,7.2,36.7,169.0,2.43,2678,t
2018-02-09,19.5,11.0,21.5,10.8,2018-02-09T03:56,2018-02-09T16:14,13.66,18.9,0.0,4.8,31.3,238.0,2.55,2678,t
