time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,27.5,25.6,33.1,30.2,2018-01-01T05:03,2018-01-01T17:41,18.15,7.5,0.0,17.6,32.0,255.0,3.46,0,u
2018-01-02,28.7,26.0,35.4,31.9,2018-01-02T05:03,2018-01-02T17:42,21.3,14.9,0.0,13.7,29.5,142.0,4.04,0,u
2018-01-03,28.3,26.2,35.5,32.0,2018-01-03T05:04,2018-01-03T17:42,22.62,12.1,0.0,17.2,32.8,137.0,4.11,0,u
2018-01-04,29.1,26.3,36.8,32.2,2018-01-04T05:04,2018-01-04T17:43,23.24,36.2,0.0,10.8,31.0,141.0,4.45,0,u
2018-01-05,28.2,25.8,35.1,31.8,2018-01-05T05:05,2018-01-05T17:43,20.95,36.8,0.0,16.1,26.6,221.0,3.94,0,u
2018-01-06,28.7,25.7,35.7,30.7,2018-01-06T05:05,2018-01-06T17:43,20.54,34.0,0.0,13.5,31.7,242.0,3.92,0,u
2018-01-07,28.7,25.5,35.7,30.7,2018-01-07T05:06,2018-01-07T17:44,16.04,23.3,0.0,11.9,24.8,262.0,3.19,0,u
2018-01-08,28.6,26.1,36.5,31.4,2018-01-08T05:06,2018-01-08T17:44,22.13,20.3,0.0,11.8,29.2,115.0,4.28,0,u
2018-01-09,29.2,26.6,37.7,32.3,2018-01-09T05:07,2018-01-09T17:44,21.93,4.1,0.0,12.3,23.4,256.0,4.34,0,u
2018-01-10,28.3,25.7,33.5,29.8,2018-01-10T05:07,2018-01-10T17:45,16.9,10.6,0.0,18.8,30.6,260.0,3.27,0,u
2018-01-11,27.2,25.3,30.6,28.2,2018-01-11T05:08,2018-01-11T17:45,5.75,53.7,0.0,27.2,45.7,272.0,1.45,0,u
2018-01-12,28.2,25.4,31.6,28.3,2018-01-12T05:08,2018-01-12T17:45,11.6,7.7,0.0,23.3,40.7,303.0,3.04,0,u
2018-01-13,29.0,26.6,35.3,31.5,2018-01-13T05:09,2018-01-13T17:45,17.67,2.9,0.0,11.0,23.4,74.0,3.65,0,u
2018-01-14,28.1,26.5,33.5,30.7,2018-01-14T05:09,2018-01-14T17:46,15.46,2.8,0.0,13.1,25.9,278.0,3.29,0,u
2018-01-15,27.7,26.2,33.5,30.4,2018-01-15T05:10,2018-01-15T17:46,16.8,4.3,0.0,11.7,25.2,284.0,3.45,0,u
2018-01-16,27.9,26.5,33.4,31.1,2018-01-16T05:10,2018-01-16T17:46,8.97,7.4,0.0,11.7,28.1,284.0,2.09,0,u
2018-01-17,28.4,26.7,33.9,32.0,2018-01-17T05:11,2018-01-17T17:46,13.0,1.2,0.0,10.1,18.7,291.0,2.75,0,u
2018-01-18,28.7,26.2,34.8,31.6,2018-01-18T05:11,2018-01-18T17:46,22.7,2.3,0.0,16.6,29.9,238.0,4.34,0,u
2018-01-19,28.2,25.7,33.4,29.9,2018-01-19T05:12,2018-01-19T17:47,17.38,6.5,0.0,17.3,31.3,264.0,3.26,0,u
2018-01-20,26.5,25.5,31.1,29.3,2018-01-20T05:12,2018-01-20T17:47,9.75,13.6,0.0,16.6,31.0,276.0,2.02,0,u
2018-01-21,26.8,25.7,31.7,29.6,2018-01-21T05:13,2018-01-21T17:47,10.38,38.2,0.0,19.7,36.4,279.0,2.16,0,u
2018-01-22,29.2,26.0,35.7,30.7,2018-01-22T05:13,2018-01-22T17:47,21.19,16.0,0.0,15.2,27.7,275.0,4.14,0,u
2018-01-23,28.2,25.6,35.1,31.5,2018-01-23T05:13,2018-01-23T17:47,16.19,11.9,0.0,9.3,21.6,241.0,3.23,0,u
2018-01-24,28.0,26.2,33.5,31.3,2018-01-24T05:14,2018-01-24T17:47,15.8,6.8,0.0,11.0,31.0,273.0,3.09,0,u
2018-01-25,28.3,26.0,33.1,29.4,2018-01-25T05:14,2018-01-25T17:47,13.92,14.9,0.0,22.7,46.4,278.0,2.92,0,u
2018-01-26,28.8,26.2,34.0,29.5,2018-01-26T05:15,2018-01-26T17:47,17.54,6.3,0.0,21.3,38.9,280.0,3.7,0,u
2018-01-27,29.5,26.4,36.2,31.7,2018-01-27T05:15,2018-01-27T17:47,21.76,6.7,0.0,13.7,30.2,271.0,4.29,0,u
2018-01-28,29.0,26.9,36.4,32.0,2018-01-28T05:15,2018-01-28T17:47,17.55,5.6,0.0,12.1,23.4,334.0,3.76,0,u
2018-01-29,29.0,27.2,35.3,30.4,2018-01-29T05:16,2018-01-29T17:47,18.58,10.0,0.0,24.4,36.4,293.0,4.0,0,u
2018-01-30,29.8,26.5,36.1,30.2,2018-01-30T05:16,2018-01-30T17:47,23.55,5.0,0.0,23.2,37.8,282.0,4.86,0,u
2018-01-31,29.2,26.4,36.9,31.2,2018-01-31T05:16,2018-01-31T17:47,22.6,4.0,0.0,14.5,27.0,275.0,4.59,0,u
