iter	RMSE
0	9.162227197
1	8.888216214
2	8.645775334
3	8.398081593
4	8.185202177
5	7.974257999
6	7.788099767
7	7.606681908
8	7.446646153
9	7.284448963
10	7.14205409
11	7.002045081
12	6.879627083
13	6.760035162
14	6.649921641
15	6.554889296
16	6.467959949
17	6.385328839
18	6.315970667
19	6.240988455
20	6.16181687
21	6.093839
22	6.024022246
23	5.960831909
24	5.907959128
25	5.853400589
26	5.807573311
27	5.761398723
28	5.714180955
29	5.675863817
30	5.628567116
31	5.592017261
32	5.555004779
33	5.51399104
34	5.484988169
35	5.448076487
36	5.425006116
37	5.400093261
38	5.368206122
39	5.344561684
40	5.31874243
41	5.300690975
42	5.28463777
43	5.263243719
44	5.238547833
45	5.22377761
46	5.199948857
47	5.175980251
48	5.158959492
49	5.145636417
50	5.131898569
51	5.100208878
52	5.083912895
53	5.057751232
54	5.0385206
55	5.020896278
56	5.005874495
57	4.990982363
58	4.975482852
59	4.95226522
60	4.926098831
61	4.919128501
62	4.909436435
63	4.897375439
64	4.886768169
65	4.879873796
66	4.867428587
67	4.851365369
68	4.834770294
69	4.82295916
70	4.810674916
71	4.80538614
72	4.797061262
73	4.790230413
74	4.783147977
75	4.774114039
76	4.768532682
77	4.747697809
78	4.739780102
79	4.725515295
80	4.721730566
81	4.710433717
82	4.699938081
83	4.687725438
84	4.673799297
85	4.666247095
86	4.660470305
87	4.65007808
88	4.6462364
89	4.633179803
90	4.619343788
91	4.612429745
92	4.598008282
93	4.592658863
94	4.587904918
95	4.577517003
96	4.566627255
97	4.561135548
98	4.553889796
99	4.542338397
100	4.538853625
101	4.529038796
102	4.524311092
103	4.513877058
104	4.499849246
105	4.49563604
106	4.487685022
107	4.483496814
108	4.479167023
109	4.474433214
110	4.464255243
111	4.458823962
112	4.456123296
113	4.44889403
114	4.436643761
115	4.433678277
116	4.430578849
117	4.422014892
118	4.41512492
119	4.405173756
120	4.399697208
121	4.391674939
122	4.387294523
123	4.379791139
124	4.375053227
125	4.370100774
126	4.362423252
127	4.354944427
128	4.348231795
129	4.343065843
130	4.335553643
131	4.331396957
132	4.32665234
133	4.320364872
